TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
ZIC2	1.500	6.676e-02	1.424	0.616	0.159	1.817e-02
DDX21	2.316	1.027e-02	0.669	0.631	0.161	1.867e-02
MNT	1.535	6.234e-02	2.494	0.601	0.164	1.982e-02
MCM7	1.484	6.888e-02	2.825	0.599	0.164	1.982e-02
MLLT1	2.339	9.671e-03	0.756	0.623	0.164	1.995e-02
SPIN1	1.694	4.511e-02	0.782	0.634	0.165	2.021e-02
ZBTB11	2.839	2.264e-03	0.971	0.610	0.166	2.048e-02
ERG	2.135	1.637e-02	0.857	0.620	0.166	2.048e-02
DPF1	1.128	1.297e-01	4.089	0.602	0.166	2.061e-02
CSNK2A1	1.475	7.009e-02	1.385	0.615	0.166	2.061e-02
BRD1	1.655	4.900e-02	0.841	0.628	0.169	2.170e-02
CREB1	3.275	5.289e-04	0.374	0.630	0.169	2.184e-02
TAL1	0.935	1.749e-01	2.315	0.615	0.170	2.226e-02
KLF10	1.815	3.474e-02	1.160	0.611	0.170	2.226e-02
ELK1	3.363	3.856e-04	0.612	0.617	0.173	2.341e-02
UBTF	2.029	2.124e-02	0.896	0.613	0.178	2.520e-02
KAT7	1.646	4.993e-02	0.782	0.627	0.178	2.520e-02
HCFC1	2.679	3.691e-03	0.252	0.634	0.179	2.582e-02
TRIM24	1.268	1.024e-01	3.477	0.596	0.183	2.740e-02
KMT2A	2.372	8.852e-03	1.185	0.602	0.184	2.822e-02
ZNF131	1.637	5.083e-02	0.739	0.627	0.185	2.839e-02
HDGF	2.108	1.750e-02	1.917	0.593	0.186	2.905e-02
SSRP1	1.085	1.389e-01	2.166	0.606	0.187	2.922e-02
KLF3	1.210	1.131e-01	2.143	0.603	0.189	3.025e-02
ZNF687	1.571	5.807e-02	1.777	0.599	0.189	3.025e-02
FOXK1	1.558	5.956e-02	2.157	0.596	0.189	3.042e-02
ZNF274	1.121	1.312e-01	6.325	0.594	0.190	3.077e-02
BCL11B	2.850	2.189e-03	0.266	0.623	0.191	3.112e-02
ZNF121	1.258	1.043e-01	2.950	0.595	0.193	3.255e-02
WDR5	1.940	2.618e-02	0.232	0.634	0.195	3.347e-02
E2F6	2.019	2.172e-02	0.923	0.605	0.198	3.478e-02
EGR1	2.133	1.648e-02	0.686	0.612	0.198	3.478e-02
ETS2	1.244	1.067e-01	1.545	0.604	0.201	3.651e-02
ELL2	3.375	3.687e-04	-0.083	0.630	0.202	3.691e-02
FOXD2	1.316	9.401e-02	1.232	0.607	0.203	3.750e-02
TET2	0.769	2.211e-01	1.464	0.625	0.203	3.790e-02
PHF8	5.316	5.313e-08	-0.313	0.641	0.204	3.810e-02
ZNF592	1.426	7.691e-02	1.918	0.597	0.204	3.810e-02
CREB3	1.270	1.021e-01	2.861	0.590	0.205	3.851e-02
YBX3	1.442	7.468e-02	2.007	0.596	0.205	3.851e-02
CSDE1	1.510	6.548e-02	2.042	0.593	0.205	3.892e-02
MORC2	1.505	6.612e-02	0.591	0.623	0.206	3.933e-02
TFDP1	2.268	1.165e-02	0.509	0.612	0.209	4.121e-02
HDAC2	1.908	2.822e-02	0.873	0.604	0.210	4.142e-02
CPSF3L	2.288	1.106e-02	-0.020	0.632	0.210	4.185e-02
ASCL2	1.262	1.035e-01	1.303	0.605	0.211	4.228e-02
NBN	1.616	5.305e-02	1.287	0.599	0.211	4.228e-02
GTF2I	0.721	2.355e-01	1.497	0.621	0.212	4.271e-02
NFYB	1.293	9.801e-02	2.033	0.596	0.212	4.271e-02
GLI2	1.800	3.596e-02	0.161	0.630	0.212	4.315e-02
HINFP	1.333	9.129e-02	2.522	0.589	0.215	4.448e-02
TRIM25	1.635	5.107e-02	1.651	0.592	0.215	4.448e-02
GTF3C2	1.147	1.257e-01	2.518	0.594	0.215	4.448e-02
PCGF1	1.461	7.203e-02	0.442	0.627	0.215	4.448e-02
ID3	1.217	1.118e-01	2.794	0.590	0.215	4.470e-02
MYCN	2.555	5.307e-03	-0.270	0.643	0.215	4.493e-02
CDC5L	1.272	1.016e-01	2.186	0.592	0.217	4.606e-02
SETDB1	0.799	2.122e-01	2.964	0.599	0.217	4.629e-02
EGR2	1.521	6.409e-02	1.119	0.601	0.220	4.815e-02
RARA	0.871	1.918e-01	1.468	0.610	0.221	4.839e-02
ZNF143	2.543	5.488e-03	0.175	0.615	0.221	4.886e-02
KLF5	1.575	5.764e-02	1.087	0.601	0.221	4.886e-02
LEF1	1.195	1.161e-01	0.590	0.629	0.221	4.886e-02
E2F1	7.702	6.703e-15	-0.394	0.629	0.223	4.958e-02
KDM2B	2.570	5.090e-03	0.067	0.618	0.223	5.006e-02
YY1	5.066	2.028e-07	-0.484	0.635	0.224	5.079e-02
RAC3	1.070	1.422e-01	2.069	0.597	0.225	5.103e-02
GTF2E2	1.275	1.012e-01	1.052	0.606	0.225	5.103e-02
FOXK2	1.677	4.678e-02	2.139	0.582	0.225	5.153e-02
INTS11	1.867	3.094e-02	0.963	0.598	0.228	5.327e-02
NELFA	4.952	3.677e-07	-0.592	0.664	0.229	5.403e-02
SNAPC1	1.531	6.286e-02	0.391	0.618	0.229	5.403e-02
AFF1	1.260	1.038e-01	0.547	0.622	0.230	5.454e-02
PML	2.002	2.263e-02	0.869	0.598	0.230	5.480e-02
ZKSCAN8	1.168	1.214e-01	2.112	0.593	0.230	5.480e-02
NFAT5	1.414	7.864e-02	0.690	0.612	0.230	5.480e-02
STAT5B	1.875	3.041e-02	0.689	0.603	0.232	5.583e-02
HMGN3	1.134	1.283e-01	1.478	0.600	0.232	5.583e-02
HSF1	1.757	3.945e-02	0.690	0.603	0.233	5.688e-02
HLTF	1.135	1.281e-01	2.357	0.589	0.233	5.714e-02
HDAC8	1.428	7.661e-02	1.443	0.593	0.235	5.821e-02
ZNF281	1.238	1.078e-01	1.082	0.604	0.235	5.874e-02
MAX	1.803	3.569e-02	-0.042	0.623	0.237	5.982e-02
CCNT2	1.007	1.571e-01	2.130	0.594	0.237	5.982e-02
KDM1A	0.559	2.880e-01	1.876	0.610	0.237	6.010e-02
KLF12	1.425	7.706e-02	0.538	0.613	0.237	6.010e-02
RARG	1.415	7.847e-02	1.480	0.591	0.239	6.120e-02
EMSY	1.628	5.175e-02	0.019	0.625	0.240	6.203e-02
RPE	3.043	1.173e-03	-0.440	0.628	0.240	6.231e-02
RUNX1T1	1.313	9.453e-02	1.165	0.598	0.240	6.231e-02
CD59	0.962	1.681e-01	2.300	0.592	0.241	6.287e-02
CNOT3	1.263	1.034e-01	1.621	0.592	0.241	6.315e-02
KLF4	0.709	2.392e-01	1.770	0.604	0.242	6.344e-02
SREBF1	1.631	5.146e-02	0.737	0.602	0.242	6.372e-02
ZNF436	0.895	1.854e-01	2.821	0.589	0.242	6.400e-02
GTF2A2	0.904	1.830e-01	2.674	0.590	0.243	6.458e-02
ELK4	2.896	1.891e-03	-0.457	0.627	0.244	6.544e-02
NFIA	0.633	2.635e-01	4.291	0.592	0.246	6.719e-02
ETS1	4.579	2.338e-06	-0.465	0.621	0.247	6.748e-02
SAP30	2.735	3.120e-03	-0.617	0.638	0.249	6.957e-02
GABP	1.271	1.018e-01	1.127	0.597	0.249	6.987e-02
USF2	1.644	5.009e-02	1.103	0.591	0.251	7.109e-02
SON	0.985	1.623e-01	1.884	0.593	0.251	7.109e-02
ZNF263	1.475	7.010e-02	0.923	0.598	0.251	7.139e-02
RBBP5	2.421	7.736e-03	-0.529	0.628	0.255	7.450e-02
MCM3	1.117	1.319e-01	2.000	0.586	0.258	7.705e-02
TBP	1.896	2.898e-02	-0.442	0.630	0.258	7.705e-02
MED1	3.503	2.296e-04	-0.869	0.649	0.258	7.737e-02
RAD51	0.992	1.605e-01	2.323	0.585	0.259	7.802e-02
NCAPH2	1.609	5.377e-02	0.609	0.600	0.261	8.032e-02
HDAC6	1.559	5.951e-02	0.461	0.603	0.263	8.165e-02
CREBBP	0.614	2.695e-01	1.232	0.608	0.267	8.540e-02
ORC1	1.389	8.241e-02	0.247	0.611	0.267	8.540e-02
LRWD1	0.728	2.333e-01	4.261	0.583	0.267	8.540e-02
ZNF287	0.747	2.275e-01	3.661	0.583	0.267	8.574e-02
TAF7	1.661	4.837e-02	0.160	0.606	0.267	8.609e-02
ARID5B	1.151	1.249e-01	0.878	0.600	0.268	8.678e-02
POU2F1	0.810	2.091e-01	2.521	0.586	0.269	8.784e-02
CHD1	4.053	2.524e-05	-0.953	0.633	0.270	8.819e-02
NCOA1	1.005	1.574e-01	1.747	0.588	0.271	8.996e-02
NELFE	4.963	3.472e-07	-1.084	0.635	0.272	9.104e-02
NFRKB	1.244	1.068e-01	1.256	0.589	0.273	9.140e-02
FEV	1.217	1.117e-01	0.598	0.603	0.278	9.655e-02
CDK9	3.637	1.377e-04	-0.831	0.623	0.278	9.693e-02
REL	1.493	6.766e-02	0.117	0.606	0.281	9.958e-02
ARNT	0.465	3.211e-01	3.555	0.588	0.281	9.996e-02
SMAD5	2.096	1.805e-02	-0.568	0.619	0.282	1.011e-01
MAFB	1.270	1.021e-01	0.264	0.605	0.284	1.027e-01
NFATC1	1.612	5.352e-02	-0.297	0.615	0.284	1.035e-01
RFX1	0.562	2.871e-01	1.092	0.608	0.284	1.035e-01
L3MBTL2	0.829	2.037e-01	2.923	0.579	0.285	1.038e-01
SIN3A	3.009	1.311e-03	-1.204	0.638	0.285	1.042e-01
DDX5	0.079	4.684e-01	2.943	0.602	0.286	1.050e-01
CEBPA	0.445	3.280e-01	0.871	0.619	0.287	1.058e-01
NR4A1	0.753	2.257e-01	1.440	0.596	0.287	1.062e-01
TET3	1.036	1.501e-01	0.799	0.600	0.287	1.066e-01
IKZF1	1.197	1.157e-01	1.240	0.586	0.288	1.078e-01
TGIF2	1.110	1.336e-01	1.233	0.588	0.289	1.086e-01
CDK8	1.873	3.053e-02	-0.486	0.615	0.289	1.090e-01
ZSCAN29	0.953	1.703e-01	1.740	0.583	0.290	1.099e-01
TAF3	1.465	7.150e-02	-0.265	0.614	0.291	1.107e-01
MBTD1	1.024	1.528e-01	1.013	0.595	0.291	1.111e-01
POLR2B	1.884	2.980e-02	-0.780	0.627	0.293	1.127e-01
ZNF318	1.103	1.350e-01	2.011	0.577	0.293	1.136e-01
MXD3	1.297	9.733e-02	0.070	0.606	0.293	1.136e-01
CDK7	1.751	3.996e-02	-0.723	0.626	0.295	1.161e-01
TSC22D4	0.699	2.423e-01	2.744	0.581	0.295	1.161e-01
ATOH1	1.338	9.041e-02	-0.060	0.608	0.295	1.161e-01
CBX1	0.881	1.891e-01	0.816	0.601	0.296	1.165e-01
ZNF783	1.250	1.057e-01	0.233	0.605	0.296	1.165e-01
ZBTB40	1.367	8.586e-02	1.078	0.583	0.297	1.178e-01
BCOR	1.129	1.296e-01	1.141	0.586	0.298	1.191e-01
NOTCH1	1.393	8.174e-02	-0.198	0.611	0.299	1.208e-01
GMEB2	2.342	9.589e-03	-1.323	0.636	0.300	1.213e-01
SMARCA5	0.512	3.044e-01	2.749	0.584	0.300	1.217e-01
ZNF584	0.939	1.739e-01	1.454	0.584	0.300	1.217e-01
AFF4	3.896	4.888e-05	-1.548	0.631	0.301	1.230e-01
ADNP	0.828	2.037e-01	2.215	0.579	0.301	1.230e-01
ZNF83	1.095	1.367e-01	1.178	0.585	0.302	1.243e-01
LARP7	0.540	2.945e-01	2.067	0.589	0.302	1.243e-01
COPS2	0.924	1.776e-01	1.133	0.591	0.302	1.243e-01
ZNF75A	1.350	8.859e-02	-0.192	0.609	0.304	1.266e-01
MXI1	1.615	5.320e-02	-0.385	0.608	0.307	1.302e-01
ZFP64	0.522	3.007e-01	2.634	0.583	0.308	1.316e-01
ZNF589	0.907	1.823e-01	1.423	0.584	0.308	1.316e-01
MIER1	0.809	2.092e-01	2.194	0.578	0.308	1.316e-01
ZBTB17	0.511	3.048e-01	0.918	0.605	0.308	1.316e-01
FOXP3	1.561	5.925e-02	-0.129	0.602	0.309	1.330e-01
ZFP57	0.672	2.506e-01	3.465	0.575	0.311	1.358e-01
ZNF202	0.429	3.341e-01	0.882	0.606	0.315	1.400e-01
ELF1	2.797	2.575e-03	-1.197	0.620	0.315	1.400e-01
ZKSCAN1	0.818	2.067e-01	1.044	0.592	0.315	1.400e-01
ZNF76	1.386	8.281e-02	-0.295	0.607	0.315	1.400e-01
POLR3A	0.759	2.238e-01	1.624	0.583	0.315	1.400e-01
ZNF175	0.851	1.973e-01	1.896	0.578	0.315	1.405e-01
BCL3	3.398	3.393e-04	-1.123	0.614	0.316	1.415e-01
PTRF	0.665	2.532e-01	2.860	0.575	0.317	1.429e-01
BRD4	4.565	2.498e-06	-2.176	0.630	0.318	1.444e-01
NFYA	2.371	8.864e-03	-0.610	0.604	0.318	1.444e-01
TFAP2C	0.575	2.828e-01	1.718	0.586	0.318	1.444e-01
ARID2	1.489	6.830e-02	-0.432	0.609	0.318	1.444e-01
HBP1	1.237	1.080e-01	0.526	0.592	0.318	1.449e-01
ZNF644	0.872	1.917e-01	1.308	0.583	0.320	1.469e-01
NFE2	0.842	1.999e-01	0.645	0.599	0.321	1.484e-01
BRD2	2.930	1.696e-03	-2.118	0.632	0.321	1.484e-01
REPIN1	0.321	3.742e-01	2.134	0.590	0.321	1.489e-01
SP2	2.217	1.332e-02	-0.403	0.599	0.322	1.504e-01
STAT2	1.473	7.042e-02	-0.154	0.601	0.322	1.509e-01
RBP2	1.696	4.490e-02	-1.384	0.634	0.324	1.529e-01
PRDM12	0.518	3.021e-01	3.578	0.575	0.324	1.534e-01
PBX2	0.749	2.269e-01	1.851	0.579	0.325	1.539e-01
CD74	1.181	1.189e-01	0.173	0.599	0.325	1.544e-01
PHF2	2.126	1.675e-02	-1.049	0.617	0.325	1.549e-01
PATZ1	1.309	9.522e-02	-0.537	0.614	0.326	1.555e-01
MTA3	0.791	2.143e-01	0.932	0.592	0.326	1.560e-01
ZNF320	0.566	2.856e-01	3.766	0.574	0.326	1.560e-01
HES1	0.617	2.686e-01	1.918	0.581	0.326	1.565e-01
BANP	0.461	3.225e-01	2.102	0.583	0.329	1.596e-01
EZH1	1.050	1.470e-01	-0.200	0.608	0.333	1.665e-01
WHSC1	0.938	1.741e-01	1.199	0.580	0.333	1.665e-01
SMARCE1	0.230	4.089e-01	3.840	0.580	0.334	1.681e-01
NR2F6	0.528	2.986e-01	3.795	0.571	0.337	1.720e-01
ZNF8	0.448	3.271e-01	1.353	0.590	0.337	1.725e-01
KDM5C	1.665	4.796e-02	-0.904	0.613	0.338	1.731e-01
CASP8AP2	1.055	1.457e-01	0.300	0.596	0.338	1.731e-01
BRCA1	1.771	3.826e-02	-1.359	0.623	0.338	1.742e-01
FGFR1	1.489	6.830e-02	-0.496	0.604	0.338	1.742e-01
RXRG	1.130	1.292e-01	0.435	0.590	0.339	1.747e-01
TAFII	1.939	2.622e-02	-1.245	0.616	0.339	1.747e-01
BCL6	0.809	2.092e-01	0.352	0.601	0.339	1.753e-01
SNAI2	0.159	4.368e-01	2.130	0.589	0.342	1.798e-01
ZNF24	1.003	1.579e-01	0.967	0.581	0.344	1.826e-01
NCOR1	1.219	1.115e-01	-0.421	0.606	0.344	1.838e-01
EP400	0.880	1.894e-01	0.716	0.589	0.345	1.843e-01
PKNOX1	0.507	3.062e-01	3.077	0.572	0.345	1.849e-01
SIX5	2.129	1.663e-02	-1.144	0.610	0.345	1.849e-01
CTBP2	0.648	2.586e-01	-0.256	0.621	0.347	1.872e-01
ZMYND8	1.226	1.101e-01	0.283	0.588	0.347	1.884e-01
MTA2	0.622	2.670e-01	1.213	0.584	0.348	1.890e-01
STAT5	0.779	2.178e-01	0.028	0.606	0.348	1.890e-01
PPARGC1A	0.613	2.699e-01	1.673	0.578	0.348	1.896e-01
ZNF18	0.836	2.016e-01	-0.101	0.606	0.349	1.907e-01
KDM4C	1.129	1.294e-01	-0.122	0.600	0.349	1.913e-01
THAP1	1.178	1.194e-01	-0.260	0.601	0.350	1.931e-01
RAG2	1.063	1.440e-01	0.138	0.597	0.350	1.931e-01
ZNF284	0.395	3.463e-01	3.783	0.571	0.351	1.949e-01
ING2	0.608	2.716e-01	1.634	0.578	0.351	1.949e-01
PYGO2	0.565	2.861e-01	2.177	0.574	0.352	1.955e-01
SATB1	-0.946	8.278e-01	3.149	0.607	0.352	1.961e-01
SF1	0.493	3.111e-01	2.303	0.575	0.353	1.978e-01
MAZ	1.585	5.644e-02	-0.427	0.597	0.354	1.990e-01
ZEB2	0.740	2.296e-01	1.412	0.577	0.354	1.997e-01
PHIP	1.723	4.247e-02	-0.532	0.597	0.354	2.003e-01
KDM5B	0.629	2.645e-01	-0.118	0.612	0.356	2.027e-01
DCP1A	2.012	2.211e-02	-2.295	0.624	0.356	2.033e-01
BCLAF1	0.710	2.388e-01	0.329	0.599	0.357	2.045e-01
LMO2	0.708	2.396e-01	1.105	0.581	0.361	2.107e-01
SUMO2	-1.825	9.660e-01	1.883	0.635	0.361	2.113e-01
CUX1	0.220	4.129e-01	1.194	0.595	0.361	2.119e-01
TRAF7	1.171	1.208e-01	-0.498	0.605	0.362	2.138e-01
PRAME	0.788	2.154e-01	0.788	0.585	0.363	2.150e-01
ZFP41	0.653	2.570e-01	1.260	0.578	0.363	2.156e-01
DPF2	0.214	4.152e-01	2.875	0.576	0.364	2.169e-01
TAZ	0.673	2.504e-01	1.116	0.580	0.364	2.169e-01
CBX8	0.406	3.425e-01	-0.020	0.616	0.365	2.175e-01
SETD1A	1.097	1.363e-01	-0.185	0.598	0.365	2.175e-01
TAF1	3.217	6.484e-04	-2.374	0.611	0.365	2.188e-01
TCF7L1	0.487	3.130e-01	1.158	0.584	0.365	2.188e-01
KLF15	1.354	8.779e-02	-1.294	0.619	0.366	2.194e-01
ZNF770	0.364	3.577e-01	3.232	0.571	0.367	2.213e-01
U2AF1	2.850	2.189e-03	-3.117	0.619	0.367	2.213e-01
NCAPG	0.364	3.579e-01	1.359	0.584	0.368	2.245e-01
SP4	0.911	1.810e-01	-0.308	0.602	0.371	2.297e-01
KLF6	1.038	1.497e-01	-0.111	0.596	0.371	2.297e-01
ZNF146	0.590	2.776e-01	1.988	0.570	0.374	2.342e-01
ZNF282	1.006	1.571e-01	0.279	0.585	0.375	2.356e-01
JMJD1C	0.407	3.419e-01	0.852	0.591	0.375	2.362e-01
E2F4	2.582	4.909e-03	-3.148	0.616	0.376	2.382e-01
MEF2D	0.549	2.915e-01	1.771	0.572	0.377	2.395e-01
GRHL3	0.362	3.588e-01	1.654	0.578	0.377	2.395e-01
ZBTB14	1.034	1.505e-01	-0.142	0.596	0.377	2.408e-01
NFYC	1.396	8.129e-02	-1.197	0.611	0.377	2.408e-01
EGR3	0.499	3.090e-01	1.544	0.575	0.378	2.422e-01
ZNF304	0.341	3.667e-01	2.860	0.570	0.379	2.428e-01
CDK6	1.085	1.389e-01	-0.343	0.598	0.381	2.468e-01
HOXA1	1.184	1.181e-01	-0.608	0.602	0.381	2.468e-01
IRF9	0.399	3.449e-01	2.235	0.571	0.381	2.475e-01
OGT	2.335	9.767e-03	-2.570	0.611	0.382	2.502e-01
PTTG1	0.420	3.371e-01	2.385	0.569	0.383	2.509e-01
PAX5	0.703	2.411e-01	0.391	0.590	0.383	2.515e-01
MEN1	0.842	2.000e-01	0.475	0.583	0.384	2.529e-01
ZNF707	0.367	3.569e-01	1.958	0.574	0.384	2.536e-01
ZNF197	0.830	2.031e-01	0.709	0.579	0.384	2.536e-01
BRDU	-0.042	5.169e-01	1.760	0.587	0.385	2.549e-01
ZNF260	0.622	2.670e-01	1.013	0.579	0.385	2.549e-01
SMARCB1	0.605	2.726e-01	0.257	0.596	0.386	2.563e-01
BIRA	0.160	4.363e-01	1.266	0.587	0.386	2.563e-01
BRD3	1.914	2.781e-02	-1.682	0.605	0.386	2.570e-01
ORC2	0.595	2.758e-01	1.098	0.578	0.387	2.584e-01
TARDBP	0.872	1.916e-01	0.055	0.592	0.388	2.597e-01
GLIS2	1.092	1.374e-01	0.077	0.585	0.388	2.597e-01
RELA	0.553	2.903e-01	-0.419	0.614	0.388	2.604e-01
CEBPD	0.273	3.925e-01	0.961	0.589	0.388	2.604e-01
VEZF1	1.434	7.585e-02	-0.672	0.597	0.388	2.611e-01
FOXJ2	0.839	2.006e-01	0.649	0.579	0.388	2.611e-01
KDM4B	1.369	8.546e-02	-0.787	0.600	0.389	2.618e-01
TFAP4	0.219	4.132e-01	1.512	0.580	0.390	2.639e-01
BHLHE40	0.745	2.282e-01	0.419	0.586	0.390	2.652e-01
RBPJ	1.095	1.367e-01	-0.481	0.598	0.393	2.694e-01
DDX20	0.472	3.184e-01	1.271	0.576	0.393	2.694e-01
ERCC6	0.193	4.236e-01	0.149	0.609	0.394	2.715e-01
ZBTB10	1.265	1.030e-01	-1.063	0.605	0.395	2.736e-01
ZNF837	0.740	2.295e-01	0.572	0.582	0.395	2.736e-01
TERC	0.272	3.930e-01	2.780	0.568	0.395	2.750e-01
GMEB1	1.456	7.275e-02	-2.068	0.614	0.397	2.778e-01
ESRRA	0.262	3.967e-01	0.688	0.594	0.399	2.828e-01
ZNF423	0.866	1.932e-01	0.348	0.581	0.400	2.849e-01
XRN2	2.835	2.294e-03	-3.966	0.606	0.402	2.870e-01
ZNF28	0.338	3.679e-01	2.096	0.570	0.402	2.878e-01
ETV1	0.908	1.818e-01	0.201	0.582	0.402	2.885e-01
DNMT1	0.495	3.102e-01	0.786	0.582	0.403	2.892e-01
CDCA2	0.298	3.829e-01	2.310	0.568	0.403	2.892e-01
RBL2	2.625	4.338e-03	-3.204	0.605	0.405	2.950e-01
ZBTB48	0.372	3.549e-01	0.833	0.584	0.406	2.957e-01
C11orf30	0.299	3.823e-01	2.019	0.570	0.406	2.957e-01
TEAD2	0.440	3.301e-01	1.692	0.569	0.406	2.957e-01
H2AZ	1.465	7.139e-02	-2.836	0.617	0.407	2.971e-01
IRAK1	1.226	1.101e-01	-1.047	0.604	0.407	2.978e-01
TCF12	0.132	4.474e-01	0.679	0.596	0.408	3.007e-01
DMC1	0.131	4.479e-01	5.575	0.563	0.409	3.029e-01
POLR2H	0.772	2.199e-01	0.566	0.577	0.411	3.051e-01
ELF2	1.433	7.599e-02	-2.435	0.613	0.411	3.051e-01
LMO1	0.546	2.925e-01	0.889	0.576	0.411	3.059e-01
SCML2	0.672	2.509e-01	0.396	0.582	0.412	3.088e-01
IRAK4	1.226	1.100e-01	-1.222	0.604	0.414	3.125e-01
PSIP1	0.337	3.679e-01	0.927	0.581	0.414	3.132e-01
MCRS1	1.263	1.034e-01	-1.496	0.605	0.414	3.132e-01
HMGN1	1.200	1.150e-01	-1.112	0.602	0.415	3.147e-01
RBCK1	1.294	9.785e-02	-1.880	0.606	0.416	3.154e-01
ZNF441	0.593	2.767e-01	0.744	0.578	0.416	3.154e-01
ZNF48	0.386	3.498e-01	1.403	0.571	0.416	3.162e-01
CHAMP1	0.452	3.255e-01	1.172	0.572	0.417	3.184e-01
TBL1XR1	0.647	2.588e-01	0.229	0.584	0.419	3.228e-01
E2F5	0.621	2.674e-01	0.788	0.575	0.420	3.243e-01
ZNF248	0.128	4.492e-01	3.528	0.563	0.421	3.266e-01
BACH1	0.480	3.157e-01	0.840	0.576	0.423	3.303e-01
SIRT6	0.288	3.865e-01	1.827	0.568	0.423	3.303e-01
PRDM2	0.935	1.749e-01	-0.005	0.580	0.424	3.326e-01
MYB	0.805	2.105e-01	0.355	0.577	0.424	3.333e-01
SRSF3	1.725	4.227e-02	-2.844	0.604	0.425	3.356e-01
SREBF2	1.056	1.455e-01	-0.745	0.596	0.425	3.356e-01
ZNF780A	0.123	4.511e-01	3.075	0.563	0.427	3.394e-01
SPI1	-0.946	8.278e-01	0.515	0.629	0.427	3.401e-01
ZBTB6	0.627	2.653e-01	0.599	0.576	0.430	3.447e-01
RUVBL1	1.005	1.574e-01	-0.662	0.594	0.430	3.454e-01
FOXO3	0.247	4.023e-01	0.647	0.584	0.433	3.516e-01
POLR3D	-1.444	9.257e-01	1.543	0.601	0.433	3.523e-01
IRF3	1.147	1.257e-01	-2.139	0.608	0.435	3.554e-01
NONO	0.362	3.588e-01	1.268	0.570	0.437	3.600e-01
