Chr	Start	End	Coordinate	ClosestTAD	Distance	TAD_Size
chr7	56320000	56840000	(56320000, 0)	(56320000, 0)	0.0	520000
chr7	57320000	57440000	(57320000, 0)	(57360000, 0)	40000.0	120000
chr7	63240000	64960000	(63240000, 0)	(63880000, 0)	640000.0	1720000
chr7	65160000	65280000	(65160000, 0)	(64840000, 0)	320000.0	120000
chr7	67520000	68680000	(67520000, 0)	(67800000, 0)	280000.0	1160000
chr7	68720000	69400000	(68720000, 0)	(68720000, 0)	0.0	680000
chr7	69440000	70600000	(69440000, 0)	(69240000, 0)	200000.0	1160000
chr8	2200000	4200000	(2200000, 0)	(2600000, 0)	400000.0	2000000
chr8	4240000	5000000	(4240000, 0)	(4320000, 0)	80000.0	760000
chr8	5040000	6800000	(5040000, 0)	(4600000, 0)	440000.0	1760000
chr8	42960000	43800000	(42960000, 0)	(43120000, 0)	160000.0	840000
chr8	46840000	47080000	(46840000, 0)	(46760000, 0)	80000.0	240000
chr8	48040000	51000000	(48040000, 0)	(47760000, 0)	280000.0	2960000
chr8	57640000	59640000	(57640000, 0)	(57240000, 0)	400000.0	2000000
chr8	96920000	108240000	(96920000, 0)	(96320000, 0)	600000.0	11320000
chr8	122920000	131280000	(122920000, 0)	(122640000, 0)	280000.0	8360000
chr8	133240000	133720000	(133240000, 0)	(133480000, 0)	240000.0	480000
chr8	135280000	141600000	(135280000, 0)	(134280000, 0)	1000000.0	6320000
chr9	6680000	7520000	(6680000, 0)	(6760000, 0)	80000.0	840000
chr9	16080000	17560000	(16080000, 0)	(16200000, 0)	120000.0	1480000
chr9	32400000	35880000	(32400000, 0)	(33000000, 0)	600000.0	3480000
chr10	37640000	38800000	(37640000, 0)	(37680000, 0)	40000.0	1160000
chr10	42840000	46200000	(42840000, 0)	(43440000, 0)	600000.0	3360000
chr10	73280000	73400000	(73280000, 0)	(73800000, 0)	520000.0	120000
chr10	127160000	127320000	(127160000, 0)	(127000000, 0)	160000.0	160000
chr10	128280000	128600000	(128280000, 0)	(128880000, 0)	600000.0	320000
chr11	160000	1120000	(160000, 0)	(520000, 0)	360000.0	960000
chr11	1200000	3240000	(1200000, 0)	(1200000, 0)	0.0	2040000
chr11	4320000	11040000	(4320000, 0)	(4160000, 0)	160000.0	6720000
chr11	33360000	33480000	(33360000, 0)	(34120000, 0)	760000.0	120000
chr11	47760000	50760000	(47760000, 0)	(48520000, 0)	760000.0	3000000
chr11	71760000	73120000	(71760000, 0)	(71880000, 0)	120000.0	1360000
chr11	116400000	118920000	(116400000, 0)	(117200000, 0)	800000.0	2520000
chr12	31360000	32920000	(31360000, 0)	(31640000, 0)	280000.0	1560000
chr12	34520000	34840000	(34520000, 0)	(34320000, 0)	200000.0	320000
chr12	37840000	45320000	(37840000, 0)	(37400000, 0)	440000.0	7480000
chr12	51080000	52080000	(51080000, 0)	(50440000, 0)	640000.0	1000000
chr12	121520000	127320000	(121520000, 0)	(122200000, 0)	680000.0	5800000
chr12	127360000	128400000	(127360000, 0)	(127880000, 0)	520000.0	1040000
chr12	128440000	128640000	(128440000, 0)	(128440000, 0)	0.0	200000
chr12	128680000	130520000	(128680000, 0)	(128720000, 0)	40000.0	1840000
chr14	20120000	39080000	(20120000, 0)	(19800000, 0)	320000.0	18960000
chr15	72440000	74000000	(72440000, 0)	(72320000, 0)	120000.0	1560000
chr16	8800000	9440000	(8800000, 0)	(8280000, 0)	520000.0	640000
chr16	30320000	31240000	(30320000, 0)	(30720000, 0)	400000.0	920000
chr17	680000	1600000	(680000, 0)	(1040000, 0)	360000.0	920000
chr17	1640000	2280000	(1640000, 0)	(1120000, 0)	520000.0	640000
chr17	4960000	6920000	(4960000, 0)	(5120000, 0)	160000.0	1960000
chr17	18200000	18920000	(18200000, 0)	(18080000, 0)	120000.0	720000
chr18	13680000	14160000	(13680000, 0)	(13040000, 0)	640000.0	480000
chr18	14200000	15360000	(14200000, 0)	(14320000, 0)	120000.0	1160000
chr19	23600000	24560000	(23600000, 0)	(23880000, 0)	280000.0	960000
chr20	18120000	20000000	(18120000, 0)	(18000000, 0)	120000.0	1880000
chr20	43720000	45000000	(43720000, 0)	(43240000, 0)	480000.0	1280000
chr20	56640000	58240000	(56640000, 0)	(55880000, 0)	760000.0	1600000
chr21	28640000	32200000	(28640000, 0)	(29000000, 0)	360000.0	3560000
