Chr	Start	End	Coordinate	ClosestTAD	Distance	TAD_Size
chr12	31440000	32920000	(31440000, 0)	(31640000, 0)	200000.0	1480000
chr12	34480000	34840000	(34480000, 0)	(34320000, 0)	160000.0	360000
chr12	37880000	38720000	(37880000, 0)	(37400000, 0)	480000.0	840000
chr12	51080000	52240000	(51080000, 0)	(50440000, 0)	640000.0	1160000
chr12	121960000	127240000	(121960000, 0)	(122200000, 0)	240000.0	5280000
chr12	127280000	128400000	(127280000, 0)	(127880000, 0)	600000.0	1120000
chr12	128440000	128840000	(128440000, 0)	(128440000, 0)	0.0	400000
chr12	128880000	130520000	(128880000, 0)	(128720000, 0)	160000.0	1640000
chr14	20120000	39200000	(20120000, 0)	(19800000, 0)	320000.0	19080000
chr15	72480000	72880000	(72480000, 0)	(72320000, 0)	160000.0	400000
chr16	8800000	9440000	(8800000, 0)	(8280000, 0)	520000.0	640000
chr16	30320000	31360000	(30320000, 0)	(30720000, 0)	400000.0	1040000
chr17	640000	1680000	(640000, 0)	(1040000, 0)	400000.0	1040000
chr17	1720000	2280000	(1720000, 0)	(1120000, 0)	600000.0	560000
chr17	5040000	6920000	(5040000, 0)	(5120000, 0)	80000.0	1880000
chr17	18160000	18920000	(18160000, 0)	(18080000, 0)	80000.0	760000
chr18	13120000	14120000	(13120000, 0)	(13040000, 0)	80000.0	1000000
chr18	14160000	15360000	(14160000, 0)	(14320000, 0)	160000.0	1200000
chr19	23640000	24560000	(23640000, 0)	(23880000, 0)	240000.0	920000
chr20	17600000	20040000	(17600000, 0)	(18000000, 0)	400000.0	2440000
chr20	43680000	44960000	(43680000, 0)	(43240000, 0)	440000.0	1280000
chr20	56640000	58240000	(56640000, 0)	(55880000, 0)	760000.0	1600000
chr21	28640000	32240000	(28640000, 0)	(29000000, 0)	360000.0	3600000
