TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
SOX11	1.645	4.996e-02	13.530	0.491	0.082	2.510e-03
PAX6	1.784	3.725e-02	6.875	0.505	0.083	2.543e-03
LHX2	1.577	5.739e-02	4.841	0.539	0.084	2.644e-03
ESR1	9.276	8.786e-21	3.902	0.507	0.084	2.713e-03
NOTCH3	1.632	5.133e-02	6.567	0.509	0.085	2.748e-03
SMAD3	3.386	3.540e-04	3.184	0.535	0.085	2.783e-03
HOTAIR	1.938	2.629e-02	21.175	0.482	0.086	2.890e-03
FOXH1	1.955	2.529e-02	5.615	0.505	0.086	2.890e-03
MYOG	1.810	3.517e-02	9.229	0.494	0.086	2.890e-03
HNF1A	1.610	5.374e-02	5.569	0.512	0.088	3.037e-03
ZNF586	1.392	8.194e-02	16.873	0.492	0.089	3.150e-03
SATB1	0.946	1.721e-01	23.867	0.498	0.090	3.266e-03
SMAD1	1.486	6.859e-02	4.544	0.543	0.091	3.385e-03
SUMO1	4.015	2.971e-05	5.412	0.492	0.092	3.507e-03
SFPQ	1.500	6.676e-02	8.054	0.498	0.093	3.674e-03
NEUROD1	2.284	1.118e-02	5.487	0.495	0.094	3.717e-03
CTNNB1	1.690	4.548e-02	4.528	0.518	0.094	3.717e-03
SPIB	1.604	5.432e-02	4.756	0.515	0.096	4.024e-03
CENPC	1.612	5.352e-02	5.126	0.507	0.097	4.160e-03
HNF1B	1.606	5.414e-02	5.178	0.506	0.098	4.300e-03
EWSR1	1.513	6.517e-02	4.377	0.524	0.099	4.347e-03
TP73	2.031	2.115e-02	6.564	0.490	0.100	4.443e-03
TEAD1-TEAD4	1.714	4.328e-02	3.590	0.530	0.100	4.443e-03
STAG1	5.611	1.007e-08	3.698	0.502	0.100	4.540e-03
RING1	1.596	5.526e-02	8.492	0.490	0.102	4.788e-03
MAFK	1.802	3.574e-02	5.450	0.495	0.104	4.993e-03
KDM1B	1.237	1.080e-01	16.586	0.487	0.104	5.046e-03
AHR	1.825	3.400e-02	6.156	0.490	0.105	5.151e-03
ZNF680	1.544	6.134e-02	9.329	0.489	0.105	5.204e-03
ZBTB2	1.727	4.211e-02	7.629	0.486	0.106	5.367e-03
PR	2.352	9.335e-03	4.485	0.497	0.107	5.476e-03
HNF4G	1.230	1.094e-01	5.330	0.511	0.107	5.588e-03
H2AFX	0.973	1.652e-01	4.964	0.518	0.110	6.048e-03
HDAC3	1.505	6.622e-02	6.725	0.490	0.111	6.227e-03
NME2	1.223	1.107e-01	16.710	0.481	0.113	6.534e-03
BAHD1	1.113	1.328e-01	9.791	0.489	0.114	6.596e-03
ZNF317	1.431	7.618e-02	10.784	0.480	0.116	6.979e-03
SMAD2	2.189	1.428e-02	4.780	0.488	0.117	7.176e-03
HES2	6.225	2.405e-10	2.914	0.495	0.118	7.309e-03
PPARG	2.385	8.530e-03	3.403	0.498	0.118	7.376e-03
SUMO2	1.824	3.408e-02	5.888	0.484	0.119	7.512e-03
YAP1	2.735	3.124e-03	2.839	0.503	0.119	7.650e-03
ERF	1.445	7.429e-02	4.994	0.497	0.120	7.789e-03
TP63	3.300	4.836e-04	4.380	0.485	0.121	7.929e-03
SSU72	1.551	6.048e-02	4.186	0.501	0.122	8.216e-03
MEIS1	1.916	2.766e-02	3.965	0.493	0.123	8.362e-03
EZH2	3.129	8.759e-04	2.026	0.510	0.124	8.509e-03
JUN	3.037	1.195e-03	2.190	0.507	0.124	8.509e-03
JUND	2.469	6.782e-03	3.770	0.489	0.124	8.659e-03
SMAD2-SMAD3	1.834	3.336e-02	2.977	0.503	0.127	9.195e-03
SMARCC1	2.128	1.665e-02	2.607	0.503	0.127	9.273e-03
BMI1	1.405	8.005e-02	3.450	0.511	0.128	9.431e-03
NKX2-1	1.656	4.883e-02	7.230	0.477	0.128	9.431e-03
MEF2B	2.744	3.033e-03	3.427	0.488	0.131	1.016e-02
FOSL2	6.578	2.387e-11	2.199	0.491	0.133	1.067e-02
CEBPG	1.445	7.422e-02	5.740	0.482	0.135	1.111e-02
PCGF2	1.718	4.289e-02	4.329	0.487	0.136	1.120e-02
FOS	1.857	3.167e-02	2.652	0.497	0.137	1.156e-02
ZNF136	0.902	1.835e-01	12.755	0.475	0.138	1.184e-02
EBNA3C	2.073	1.908e-02	2.989	0.491	0.138	1.184e-02
JARID2	2.753	2.952e-03	2.020	0.497	0.138	1.193e-02
ZNF800	1.407	7.970e-02	6.033	0.480	0.139	1.221e-02
PRDM6	1.333	9.119e-02	4.437	0.490	0.143	1.318e-02
MAFF	1.092	1.373e-01	7.420	0.478	0.144	1.348e-02
SIX1	1.476	6.998e-02	4.387	0.484	0.148	1.462e-02
PGR	1.309	9.525e-02	4.298	0.489	0.148	1.473e-02
GRHL2	1.697	4.490e-02	3.957	0.481	0.149	1.483e-02
FEZF1	1.506	6.600e-02	4.987	0.477	0.150	1.516e-02
ZNF22	0.804	2.108e-01	14.165	0.471	0.151	1.538e-02
PBX3	0.934	1.753e-01	2.527	0.513	0.152	1.571e-02
FOXO1	1.205	1.141e-01	2.797	0.500	0.153	1.627e-02
DAXX	1.474	7.019e-02	4.225	0.481	0.155	1.685e-02
ZNF490	0.767	2.217e-01	20.604	0.470	0.155	1.685e-02
ZNF382	1.426	7.689e-02	7.526	0.470	0.156	1.697e-02
POLR3D	1.444	7.436e-02	3.653	0.484	0.159	1.817e-02
ZNF793	0.876	1.906e-01	8.726	0.472	0.160	1.855e-02
KDM3B	1.466	7.131e-02	3.419	0.484	0.162	1.930e-02
HLF	1.011	1.561e-01	9.831	0.468	0.164	1.995e-02
ZNF26	0.873	1.914e-01	6.639	0.474	0.165	2.021e-02
CBX5	0.886	1.879e-01	2.509	0.503	0.165	2.035e-02
ZNF133	0.819	2.063e-01	7.893	0.472	0.166	2.075e-02
SUZ12	1.191	1.168e-01	1.146	0.520	0.170	2.226e-02
PGBD3	1.280	1.004e-01	2.852	0.488	0.170	2.226e-02
CDK2	0.650	2.577e-01	9.141	0.473	0.171	2.269e-02
ZNF485	0.710	2.390e-01	16.177	0.468	0.172	2.283e-02
PITX3	0.914	1.803e-01	4.881	0.475	0.173	2.341e-02
IRF5	0.717	2.367e-01	11.043	0.468	0.175	2.414e-02
CHD7	1.069	1.426e-01	1.365	0.511	0.177	2.490e-02
BANF1	1.345	8.933e-02	3.328	0.479	0.177	2.490e-02
HOXA9	0.737	2.306e-01	4.372	0.484	0.177	2.505e-02
PRMT1	1.217	1.118e-01	3.152	0.481	0.178	2.551e-02
DLX2	1.033	1.508e-01	3.575	0.480	0.178	2.551e-02
ZNF182	0.834	2.021e-01	5.171	0.472	0.180	2.644e-02
ELF3	1.168	1.213e-01	4.249	0.473	0.183	2.757e-02
TP53	1.347	8.893e-02	1.611	0.493	0.184	2.806e-02
ZNF675	0.776	2.188e-01	5.799	0.470	0.184	2.806e-02
HIF1A	0.892	1.862e-01	3.339	0.482	0.184	2.822e-02
FLI1	0.701	2.415e-01	1.477	0.519	0.185	2.839e-02
STAT3	1.464	7.160e-02	1.804	0.487	0.187	2.922e-02
ZNF808	0.622	2.670e-01	27.738	0.464	0.187	2.956e-02
ZNF17	0.719	2.360e-01	7.539	0.468	0.189	3.025e-02
SOX10	0.904	1.830e-01	3.795	0.475	0.189	3.025e-02
ZNF823	0.652	2.573e-01	10.189	0.466	0.192	3.165e-02
RNF2	0.793	2.139e-01	1.891	0.494	0.193	3.219e-02
IRF4	1.483	6.902e-02	2.047	0.477	0.194	3.310e-02
WWTR1	1.335	9.086e-02	2.268	0.479	0.194	3.310e-02
ZNF169	0.725	2.343e-01	6.081	0.468	0.195	3.347e-02
DRAP1	1.012	1.557e-01	2.594	0.479	0.195	3.347e-02
ZNF585A	0.777	2.186e-01	4.778	0.470	0.196	3.384e-02
FOSL1	1.117	1.321e-01	1.549	0.490	0.197	3.421e-02
ATF2	1.102	1.352e-01	2.295	0.480	0.197	3.440e-02
CHD8	0.740	2.297e-01	2.628	0.485	0.198	3.478e-02
TCF7	0.462	3.219e-01	3.108	0.495	0.198	3.478e-02
EED	0.920	1.788e-01	3.074	0.476	0.198	3.478e-02
LMNB1	0.726	2.340e-01	5.503	0.468	0.198	3.497e-02
ERCC2	0.752	2.260e-01	4.989	0.469	0.198	3.516e-02
ZSCAN16	0.462	3.221e-01	3.507	0.487	0.206	3.933e-02
PRDM14	0.784	2.167e-01	3.864	0.471	0.206	3.953e-02
ASCL1	0.515	3.033e-01	2.391	0.490	0.208	4.058e-02
SCRT1	0.696	2.431e-01	5.168	0.468	0.210	4.164e-02
MCM2	0.631	2.639e-01	7.402	0.465	0.210	4.164e-02
BATF	1.284	9.963e-02	2.056	0.473	0.211	4.206e-02
FANCD2	0.551	2.908e-01	10.231	0.461	0.211	4.228e-02
TTF1	0.894	1.856e-01	4.672	0.465	0.213	4.359e-02
CHD5	0.694	2.440e-01	4.924	0.467	0.215	4.448e-02
DACOR1	0.522	3.009e-01	10.882	0.460	0.215	4.493e-02
H3F3B	0.782	2.170e-01	3.325	0.471	0.216	4.515e-02
OSR2	0.929	1.764e-01	3.844	0.466	0.216	4.538e-02
SMN1	0.640	2.612e-01	5.739	0.465	0.217	4.629e-02
NR1H3	1.186	1.178e-01	2.870	0.468	0.218	4.675e-02
ESCO2	0.763	2.227e-01	3.472	0.470	0.218	4.675e-02
GREB1	0.947	1.719e-01	2.430	0.471	0.218	4.675e-02
KMT2B	0.832	2.028e-01	2.560	0.472	0.219	4.698e-02
ZNF84	0.677	2.493e-01	4.836	0.467	0.219	4.721e-02
ZFAT	0.804	2.106e-01	2.679	0.471	0.219	4.745e-02
NR5A2	0.550	2.913e-01	2.999	0.477	0.219	4.745e-02
ZNF217	0.732	2.320e-01	3.730	0.469	0.220	4.768e-02
ZNF35	0.720	2.359e-01	4.018	0.468	0.220	4.792e-02
NEUROG2	1.333	9.131e-02	2.273	0.468	0.223	4.958e-02
TTF2	0.331	3.704e-01	1.169	0.518	0.223	5.006e-02
ZNF549	0.538	2.955e-01	7.941	0.461	0.224	5.079e-02
TCF7L2	0.541	2.943e-01	1.290	0.497	0.225	5.103e-02
ZNF384	0.538	2.952e-01	3.135	0.474	0.225	5.128e-02
BCL11A	0.316	3.760e-01	0.899	0.533	0.226	5.177e-02
ZNF765	0.660	2.546e-01	4.594	0.466	0.226	5.177e-02
HMG20A	0.874	1.911e-01	1.706	0.474	0.231	5.531e-02
ARID3A	0.812	2.083e-01	3.873	0.463	0.232	5.583e-02
SPI1	0.945	1.723e-01	1.172	0.478	0.232	5.609e-02
ZNF512	0.636	2.624e-01	5.741	0.460	0.232	5.609e-02
HIRA	0.645	2.595e-01	1.612	0.484	0.232	5.609e-02
SRCAP	0.495	3.103e-01	8.079	0.459	0.232	5.635e-02
ZNF425	0.528	2.989e-01	6.477	0.460	0.234	5.794e-02
RUNX2	0.467	3.203e-01	5.017	0.466	0.235	5.847e-02
NIPBL	0.856	1.959e-01	0.784	0.486	0.236	5.928e-02
MAFG	0.699	2.422e-01	5.014	0.459	0.237	5.982e-02
ZNF362	0.739	2.301e-01	4.389	0.461	0.238	6.065e-02
TRIM22	1.013	1.556e-01	1.769	0.469	0.239	6.147e-02
SRF	0.673	2.506e-01	0.654	0.492	0.239	6.175e-02
HHEX	0.762	2.230e-01	3.948	0.461	0.240	6.231e-02
DPPA2	0.478	3.165e-01	7.345	0.458	0.243	6.429e-02
NFIC	0.365	3.574e-01	2.533	0.477	0.244	6.515e-02
CBX3	0.413	3.397e-01	2.984	0.474	0.244	6.515e-02
NR1H2	1.097	1.364e-01	1.943	0.466	0.244	6.544e-02
NFE2L1	0.738	2.301e-01	3.001	0.465	0.246	6.660e-02
FAIRE	0.532	2.974e-01	-0.140	0.513	0.246	6.690e-02
MKL2	1.029	1.518e-01	1.094	0.471	0.248	6.897e-02
MITF	0.478	3.164e-01	2.789	0.470	0.249	6.987e-02
ZNF366	0.749	2.270e-01	3.220	0.461	0.251	7.109e-02
CBX2	0.607	2.719e-01	3.456	0.464	0.253	7.263e-02
TCF21	1.150	1.251e-01	1.823	0.464	0.253	7.325e-02
ZNF697	0.303	3.808e-01	6.669	0.460	0.258	7.705e-02
GRIP1	0.552	2.904e-01	2.009	0.470	0.258	7.737e-02
NCAPG2	0.569	2.846e-01	3.474	0.462	0.258	7.737e-02
ERCC3	0.587	2.784e-01	3.303	0.463	0.258	7.770e-02
ICE2	0.707	2.398e-01	1.947	0.468	0.258	7.770e-02
FOXP1	0.589	2.781e-01	0.953	0.479	0.259	7.802e-02
ZNF75D	0.415	3.390e-01	9.064	0.453	0.263	8.199e-02
CHRM2	0.365	3.575e-01	0.580	0.493	0.265	8.334e-02
STAT4	0.360	3.596e-01	2.346	0.470	0.267	8.609e-02
BATF3	0.682	2.475e-01	1.707	0.467	0.269	8.713e-02
SMAD4	0.104	4.586e-01	0.723	0.503	0.271	8.925e-02
ZNF750	0.454	3.247e-01	4.658	0.457	0.271	8.996e-02
ZNF664	0.576	2.823e-01	3.761	0.456	0.272	9.104e-02
SRC	0.442	3.292e-01	2.336	0.467	0.273	9.140e-02
NR2F2	0.326	3.721e-01	1.698	0.475	0.273	9.140e-02
ZNF93	0.490	3.120e-01	3.675	0.459	0.273	9.176e-02
GFI1B	0.427	3.348e-01	2.383	0.466	0.278	9.655e-02
PROX1	0.788	2.153e-01	1.158	0.465	0.280	9.844e-02
SCRT2	0.423	3.363e-01	5.561	0.453	0.280	9.920e-02
RXRA	0.639	2.615e-01	0.557	0.473	0.281	9.958e-02
ATF3	0.279	3.900e-01	0.458	0.489	0.282	1.011e-01
JMJD6	0.560	2.876e-01	-0.304	0.486	0.283	1.015e-01
ZNF781	0.426	3.351e-01	4.924	0.453	0.283	1.023e-01
ZNF573	0.423	3.361e-01	4.242	0.456	0.284	1.031e-01
ZNF92	0.323	3.733e-01	5.539	0.453	0.285	1.038e-01
ZSCAN2	0.571	2.840e-01	1.849	0.462	0.285	1.046e-01
MEF2A	0.365	3.575e-01	0.830	0.478	0.286	1.050e-01
ZNF766	0.125	4.503e-01	2.277	0.470	0.287	1.066e-01
LYL1	0.388	3.489e-01	1.338	0.471	0.288	1.070e-01
DEK	0.656	2.558e-01	1.845	0.460	0.288	1.078e-01
NFE2L2	0.489	3.123e-01	0.283	0.477	0.289	1.082e-01
TSHZ1	0.574	2.828e-01	1.415	0.465	0.289	1.082e-01
ARRB1	0.542	2.941e-01	2.749	0.456	0.290	1.095e-01
BRDU	0.048	4.810e-01	1.818	0.477	0.290	1.099e-01
ZNF429	0.313	3.771e-01	5.077	0.453	0.292	1.119e-01
MAF	0.093	4.628e-01	0.126	0.499	0.293	1.127e-01
ZNF788	0.432	3.329e-01	3.547	0.456	0.293	1.132e-01
FXR2	0.491	3.119e-01	2.239	0.459	0.295	1.153e-01
ETV6	0.490	3.122e-01	1.198	0.465	0.301	1.230e-01
SS18	0.493	3.111e-01	1.387	0.464	0.302	1.235e-01
ZXDC	0.457	3.240e-01	2.345	0.457	0.303	1.257e-01
NR2F1	0.204	4.193e-01	1.835	0.467	0.304	1.261e-01
LIN9	0.519	3.018e-01	1.630	0.460	0.304	1.261e-01
DDX5	-0.080	5.317e-01	1.560	0.482	0.305	1.275e-01
ZNF140	0.425	3.354e-01	3.303	0.454	0.306	1.288e-01
ZNF558	0.507	3.060e-01	1.825	0.457	0.309	1.325e-01
ZNF440	0.218	4.135e-01	5.340	0.449	0.309	1.325e-01
LMTK3	0.164	4.348e-01	1.509	0.468	0.309	1.330e-01
MYOD1	0.479	3.161e-01	2.366	0.454	0.310	1.344e-01
BTAF1	0.460	3.229e-01	1.998	0.458	0.311	1.348e-01
SNAI2	-0.158	5.626e-01	1.725	0.480	0.312	1.362e-01
BRD9	0.428	3.344e-01	1.193	0.464	0.313	1.377e-01
SOX4	0.510	3.050e-01	1.472	0.459	0.313	1.386e-01
ZNF605	0.305	3.802e-01	3.705	0.452	0.313	1.386e-01
TBX21	0.546	2.924e-01	0.821	0.461	0.319	1.459e-01
ZSCAN20	0.507	3.059e-01	1.611	0.456	0.320	1.474e-01
BCAT1	0.474	3.177e-01	1.708	0.456	0.320	1.474e-01
CBFA2T2	0.462	3.221e-01	1.596	0.458	0.320	1.474e-01
ZNF488	0.449	3.266e-01	1.998	0.455	0.320	1.479e-01
ZNF671	0.380	3.519e-01	2.098	0.455	0.322	1.504e-01
EBNA3	0.482	3.150e-01	1.177	0.458	0.324	1.534e-01
CTCFL	0.070	4.721e-01	-0.219	0.484	0.326	1.560e-01
ZNF280A	0.180	4.285e-01	4.600	0.448	0.327	1.570e-01
PLRG1	0.358	3.601e-01	2.142	0.453	0.329	1.596e-01
SND1	0.364	3.579e-01	0.719	0.465	0.331	1.633e-01
TCF12	-0.132	5.525e-01	0.264	0.487	0.335	1.692e-01
ASH2L	0.373	3.545e-01	2.098	0.451	0.338	1.731e-01
SMARCA4	-0.112	5.447e-01	-1.206	0.512	0.338	1.742e-01
AGO1	0.484	3.141e-01	0.842	0.457	0.339	1.747e-01
PRKDC	0.343	3.658e-01	0.863	0.460	0.340	1.764e-01
SMARCE1	-0.230	5.909e-01	2.123	0.468	0.341	1.781e-01
HNF4A	0.174	4.310e-01	1.795	0.457	0.341	1.787e-01
CEBPA	-0.445	6.719e-01	0.008	0.514	0.343	1.821e-01
CUX1	-0.220	5.873e-01	0.582	0.483	0.343	1.821e-01
ZNF506	0.156	4.379e-01	3.650	0.447	0.347	1.878e-01
NFIL3	0.212	4.161e-01	2.611	0.449	0.347	1.884e-01
JUNB	-0.014	5.055e-01	0.059	0.475	0.348	1.901e-01
TAT	0.428	3.345e-01	0.789	0.457	0.349	1.907e-01
KLF16	0.201	4.203e-01	2.060	0.451	0.350	1.931e-01
ZNF778	0.017	4.931e-01	0.995	0.466	0.352	1.955e-01
ZNF331	0.086	4.658e-01	4.629	0.445	0.352	1.955e-01
TFAP2A	0.061	4.756e-01	1.462	0.459	0.352	1.961e-01
MECOM	0.330	3.708e-01	1.361	0.453	0.352	1.961e-01
ZNF2	0.348	3.639e-01	0.926	0.455	0.356	2.021e-01
EHF	0.327	3.717e-01	-0.039	0.463	0.356	2.033e-01
ICE1	0.466	3.205e-01	0.693	0.454	0.356	2.033e-01
PARP1	0.007	4.971e-01	7.164	0.442	0.357	2.045e-01
SETDB1	-0.800	7.881e-01	0.057	0.572	0.361	2.113e-01
SP140	0.128	4.490e-01	1.022	0.458	0.361	2.113e-01
ETV4	-0.102	5.406e-01	-0.837	0.486	0.362	2.131e-01
ETV5	0.137	4.455e-01	0.254	0.462	0.366	2.207e-01
TET2	-0.769	7.790e-01	0.252	0.515	0.367	2.226e-01
YBX1	0.032	4.874e-01	2.010	0.452	0.368	2.232e-01
KDM6B	0.177	4.299e-01	0.024	0.463	0.368	2.239e-01
E2F7	0.221	4.125e-01	-0.381	0.465	0.368	2.245e-01
CAMTA2	0.296	3.835e-01	1.041	0.452	0.369	2.252e-01
ZFP28	0.061	4.757e-01	2.500	0.448	0.370	2.265e-01
EBNA2	0.311	3.777e-01	0.836	0.453	0.371	2.297e-01
MBD3	0.304	3.805e-01	0.206	0.457	0.372	2.316e-01
ZNF479	0.122	4.515e-01	2.446	0.446	0.373	2.323e-01
FUS	0.278	3.904e-01	0.430	0.455	0.375	2.356e-01
PRDM10	0.314	3.769e-01	1.073	0.449	0.375	2.369e-01
TFAP4	-0.220	5.870e-01	0.111	0.473	0.376	2.382e-01
RUNX3	0.257	3.985e-01	0.960	0.451	0.378	2.415e-01
MRE11A	0.284	3.882e-01	0.373	0.454	0.379	2.442e-01
FOXP2	0.189	4.250e-01	-1.137	0.467	0.382	2.495e-01
KDM1A	-0.559	7.119e-01	0.233	0.488	0.382	2.502e-01
TLX1	0.241	4.046e-01	0.871	0.450	0.383	2.515e-01
ZNF534	0.192	4.237e-01	1.235	0.449	0.384	2.529e-01
RELA	-0.554	7.103e-01	-0.888	0.507	0.385	2.549e-01
ERCC6	-0.193	5.764e-01	-1.158	0.482	0.385	2.549e-01
DNMT3A	0.137	4.457e-01	-0.911	0.466	0.388	2.611e-01
EPAS1	0.193	4.236e-01	1.060	0.449	0.388	2.611e-01
LDB1	0.049	4.803e-01	2.587	0.443	0.389	2.618e-01
ILK	0.009	4.966e-01	1.991	0.448	0.390	2.652e-01
RCOR1	-0.094	5.373e-01	-0.261	0.467	0.391	2.673e-01
DPF2	-0.214	5.849e-01	1.633	0.456	0.391	2.673e-01
HDAC4	0.293	3.848e-01	0.229	0.452	0.392	2.687e-01
CEBPD	-0.274	6.078e-01	-0.843	0.480	0.393	2.694e-01
VDR	-0.089	5.356e-01	-0.545	0.468	0.394	2.715e-01
EBF1	0.020	4.921e-01	0.459	0.455	0.397	2.785e-01
ZNF554	0.126	4.499e-01	1.362	0.446	0.398	2.799e-01
ZBTB48	-0.372	6.449e-01	0.366	0.469	0.399	2.814e-01
CLOCK	-0.029	5.116e-01	1.637	0.449	0.399	2.814e-01
GLIS1	-0.063	5.253e-01	-0.270	0.462	0.403	2.899e-01
WRNIP1	0.283	3.887e-01	-0.324	0.452	0.408	3.000e-01
ZC3H8	-0.124	5.492e-01	-2.100	0.475	0.411	3.051e-01
ESRRA	-0.262	6.035e-01	-1.529	0.477	0.412	3.073e-01
UBE2I	0.245	4.034e-01	-0.300	0.450	0.412	3.073e-01
ZNF134	0.052	4.795e-01	1.509	0.443	0.413	3.103e-01
BIRA	-0.160	5.636e-01	0.790	0.455	0.413	3.110e-01
WT1	0.231	4.088e-01	-0.079	0.449	0.413	3.110e-01
CREM	-0.258	6.019e-01	-0.510	0.468	0.415	3.139e-01
RELB	0.041	4.836e-01	0.976	0.446	0.416	3.154e-01
MYF5	0.178	4.292e-01	0.192	0.448	0.416	3.154e-01
ARNT	-0.465	6.790e-01	-1.643	0.489	0.416	3.169e-01
FOXO3	-0.248	5.978e-01	-1.259	0.472	0.417	3.176e-01
DMC1	-0.130	5.518e-01	4.593	0.437	0.417	3.176e-01
PRMT5	0.178	4.294e-01	0.157	0.448	0.417	3.191e-01
TAL1	-0.934	8.248e-01	1.311	0.473	0.418	3.199e-01
TCF7L1	-0.489	6.876e-01	-0.139	0.471	0.418	3.214e-01
ZNF618	0.151	4.400e-01	0.279	0.447	0.419	3.221e-01
HCFC1R1	0.034	4.864e-01	1.559	0.443	0.419	3.228e-01
SP7	0.238	4.059e-01	-0.166	0.448	0.420	3.243e-01
PMEL	-0.158	5.626e-01	-2.136	0.473	0.421	3.258e-01
ZNF292	0.071	4.717e-01	0.967	0.444	0.421	3.273e-01
CTBP1	-0.015	5.060e-01	0.390	0.450	0.423	3.311e-01
ZBTB42	0.098	4.611e-01	0.604	0.445	0.425	3.356e-01
CREBBP	-0.614	7.304e-01	-1.455	0.489	0.426	3.371e-01
ZNF563	-0.023	5.091e-01	2.024	0.441	0.426	3.371e-01
STAT1	-0.111	5.441e-01	-1.412	0.466	0.426	3.379e-01
ZNF430	0.046	4.817e-01	1.050	0.443	0.427	3.386e-01
ZNF141	-0.015	5.058e-01	1.756	0.441	0.431	3.477e-01
ZNF585B	-0.037	5.148e-01	1.590	0.442	0.435	3.554e-01
ING5	0.026	4.897e-01	1.085	0.442	0.435	3.562e-01
ZNF44	0.097	4.613e-01	0.247	0.445	0.436	3.577e-01
HMBOX1	0.008	4.968e-01	1.205	0.442	0.437	3.615e-01
ZNF248	-0.129	5.514e-01	2.865	0.437	0.439	3.639e-01
ZNF101	-0.021	5.083e-01	0.257	0.447	0.439	3.639e-01
GRHL3	-0.362	6.412e-01	0.871	0.453	0.440	3.669e-01
POU3F2	0.247	4.023e-01	-1.188	0.449	0.442	3.708e-01
FOXM1	-0.635	7.372e-01	-3.698	0.508	0.443	3.731e-01
NFKB2	0.032	4.874e-01	0.629	0.442	0.445	3.770e-01
REPIN1	-0.319	6.251e-01	-0.058	0.457	0.445	3.778e-01
