Chr	Start	End	DCI_Score	Coordinate	ClosestTAD	Distance
chr5	3920000	3960000	10.503410711030329	(3920000, 0)	(3920000, 0)	0.0
chr5	4040000	4080000	9.964380245247607	(4040000, 0)	(4040000, 0)	0.0
chr5	4120000	4160000	9.167381372084304	(4120000, 0)	(4120000, 0)	0.0
chr5	4200000	4240000	7.0863944303147335	(4200000, 0)	(4160000, 0)	40000.0
chr5	65800000	65840000	9.01383029941462	(65800000, 0)	(65800000, 0)	0.0
chr5	79800000	79840000	7.731696439491582	(79800000, 0)	(79840000, 0)	40000.0
chr5	178200000	178240000	13.364015911284154	(178200000, 0)	(178200000, 0)	0.0
chr6	16200000	16240000	8.829797699551893	(16200000, 0)	(16160000, 0)	40000.0
chr6	77960000	78000000	7.043211903512004	(77960000, 0)	(77920000, 0)	40000.0
chr6	88320000	88360000	7.712102728422451	(88320000, 0)	(88320000, 0)	0.0
chr6	130960000	131000000	7.25788530880155	(130960000, 0)	(131000000, 0)	40000.0
chr6	151360000	151400000	12.121091785967845	(151360000, 0)	(151360000, 0)	0.0
chr6	160040000	160080000	7.0460469210257575	(160040000, 0)	(160040000, 0)	0.0
chr6	163280000	163320000	7.5812271308478625	(163280000, 0)	(163320000, 0)	40000.0
chr6	163600000	163640000	9.875223049255156	(163600000, 0)	(163600000, 0)	0.0
chr6	163720000	163760000	8.343293807242812	(163720000, 0)	(163680000, 0)	40000.0
chr7	44680000	44720000	11.420729547261354	(44680000, 0)	(44680000, 0)	0.0
chr7	44960000	45000000	8.006668138103095	(44960000, 0)	(44960000, 0)	0.0
chr7	45880000	45920000	7.7746017219649675	(45880000, 0)	(45880000, 0)	0.0
chr7	54680000	54720000	10.547287500025721	(54680000, 0)	(54680000, 0)	0.0
chr7	56280000	56320000	9.918851162896688	(56280000, 0)	(56240000, 0)	40000.0
chr7	56320000	56360000	7.94074952308746	(56320000, 0)	(56320000, 0)	0.0
chr7	56400000	56440000	7.742548553199251	(56400000, 0)	(56400000, 0)	0.0
chr7	56480000	56520000	10.943504822274916	(56480000, 0)	(56480000, 0)	0.0
chr7	56760000	56800000	8.031095258470073	(56760000, 0)	(56720000, 0)	40000.0
chr7	57200000	57240000	7.45661021707459	(57200000, 0)	(57200000, 0)	0.0
chr7	57360000	57400000	7.163899738445605	(57360000, 0)	(57360000, 0)	0.0
chr7	63880000	63920000	7.3581633186562625	(63880000, 0)	(63880000, 0)	0.0
chr7	64000000	64040000	9.942049300586454	(64000000, 0)	(64000000, 0)	0.0
chr7	64080000	64120000	9.916521832499587	(64080000, 0)	(64120000, 0)	40000.0
chr7	64240000	64280000	11.331899804515631	(64240000, 0)	(64240000, 0)	0.0
chr7	64400000	64440000	7.727170879168026	(64400000, 0)	(64360000, 0)	40000.0
chr7	64440000	64480000	7.420845175540544	(64440000, 0)	(64440000, 0)	0.0
chr7	64560000	64600000	7.813197356480892	(64560000, 0)	(64560000, 0)	0.0
chr7	64720000	64760000	9.654889481058989	(64720000, 0)	(64720000, 0)	0.0
chr7	64760000	64800000	9.58871876170371	(64760000, 0)	(64760000, 0)	0.0
chr7	64840000	64880000	11.247808070523169	(64840000, 0)	(64840000, 0)	0.0
chr7	67800000	67840000	10.85267329328515	(67800000, 0)	(67800000, 0)	0.0
chr7	67880000	67920000	9.879141156635855	(67880000, 0)	(67880000, 0)	0.0
chr7	67960000	68000000	13.126702222591977	(67960000, 0)	(67960000, 0)	0.0
chr7	68080000	68120000	15.79751197635002	(68080000, 0)	(68080000, 0)	0.0
chr7	68120000	68160000	11.212979306002426	(68120000, 0)	(68120000, 0)	0.0
chr7	68240000	68280000	12.2425005811179	(68240000, 0)	(68240000, 0)	0.0
chr7	68640000	68680000	7.595905295524325	(68640000, 0)	(68640000, 0)	0.0
chr7	68720000	68760000	11.508915732365658	(68720000, 0)	(68720000, 0)	0.0
chr7	68840000	68880000	9.492989188567805	(68840000, 0)	(68800000, 0)	40000.0
chr7	69120000	69160000	9.382401772581748	(69120000, 0)	(69160000, 0)	40000.0
chr7	69240000	69280000	7.122297772160818	(69240000, 0)	(69240000, 0)	0.0
chr7	152800000	152840000	9.342294473336283	(152800000, 0)	(152800000, 0)	0.0
chr7	153320000	153360000	7.622481204921869	(153320000, 0)	(153320000, 0)	0.0
chr7	153360000	153400000	13.930765087407151	(153360000, 0)	(153360000, 0)	0.0
chr7	153440000	153480000	10.714909157542149	(153440000, 0)	(153440000, 0)	0.0
chr7	154200000	154240000	8.642377588534872	(154200000, 0)	(154200000, 0)	0.0
chr7	154280000	154320000	9.917045918913168	(154280000, 0)	(154320000, 0)	40000.0
chr7	154600000	154640000	7.241111621344658	(154600000, 0)	(154600000, 0)	0.0
chr7	154680000	154720000	7.796722788772517	(154680000, 0)	(154720000, 0)	40000.0
chr7	154800000	154840000	7.0376554037082295	(154800000, 0)	(154840000, 0)	40000.0
chr7	155960000	156000000	9.963305492061798	(155960000, 0)	(155920000, 0)	40000.0
chr7	156040000	156080000	15.857146824242834	(156040000, 0)	(156040000, 0)	0.0
chr7	157920000	157960000	8.504359755542081	(157920000, 0)	(157920000, 0)	0.0
chr7	158000000	158040000	8.358778682383267	(158000000, 0)	(158000000, 0)	0.0
chr8	2600000	2640000	10.486674789025864	(2600000, 0)	(2600000, 0)	0.0
chr8	2680000	2720000	9.504429259675657	(2680000, 0)	(2680000, 0)	0.0
chr8	2880000	2920000	8.547808062787357	(2880000, 0)	(2920000, 0)	40000.0
chr8	3120000	3160000	8.125330963430136	(3120000, 0)	(3080000, 0)	40000.0
chr8	3320000	3360000	9.156953598032224	(3320000, 0)	(3320000, 0)	0.0
chr8	3480000	3520000	11.257718575687537	(3480000, 0)	(3480000, 0)	0.0
chr8	3560000	3600000	8.274705687221358	(3560000, 0)	(3560000, 0)	0.0
chr8	3720000	3760000	10.733072803129556	(3720000, 0)	(3680000, 0)	40000.0
chr8	3840000	3880000	7.792677484167317	(3840000, 0)	(3840000, 0)	0.0
chr8	3920000	3960000	11.305912846759135	(3920000, 0)	(3880000, 0)	40000.0
chr8	4120000	4160000	8.612614183271276	(4120000, 0)	(4120000, 0)	0.0
chr8	4320000	4360000	8.99070932857114	(4320000, 0)	(4320000, 0)	0.0
chr8	4360000	4400000	7.591692895994218	(4360000, 0)	(4360000, 0)	0.0
chr8	4600000	4640000	7.5606502168307195	(4600000, 0)	(4600000, 0)	0.0
chr8	43120000	43160000	7.043643613554332	(43120000, 0)	(43120000, 0)	0.0
chr8	43200000	43240000	8.730915954750747	(43200000, 0)	(43200000, 0)	0.0
chr8	43320000	43360000	8.06808859834217	(43320000, 0)	(43320000, 0)	0.0
chr8	43400000	43440000	9.761929464435598	(43400000, 0)	(43440000, 0)	40000.0
chr8	46120000	46160000	8.815487922520227	(46120000, 0)	(46120000, 0)	0.0
chr8	46200000	46240000	11.990626764091775	(46200000, 0)	(46200000, 0)	0.0
chr8	46240000	46280000	9.129262622854867	(46240000, 0)	(46240000, 0)	0.0
chr8	46400000	46440000	7.478173888422551	(46400000, 0)	(46400000, 0)	0.0
chr8	46680000	46720000	8.440162747221219	(46680000, 0)	(46680000, 0)	0.0
chr8	46760000	46800000	9.355879934554961	(46760000, 0)	(46760000, 0)	0.0
chr8	47760000	47800000	8.983057779150279	(47760000, 0)	(47720000, 0)	40000.0
chr8	57240000	57280000	7.1710374145511615	(57240000, 0)	(57240000, 0)	0.0
chr8	96320000	96360000	8.705848009555911	(96320000, 0)	(96320000, 0)	0.0
chr8	122640000	122680000	7.182321506707325	(122640000, 0)	(122640000, 0)	0.0
chr8	133480000	133520000	8.010771487580497	(133480000, 0)	(133480000, 0)	0.0
chr8	134280000	134320000	7.228026006059984	(134280000, 0)	(134320000, 0)	40000.0
chr8	137920000	137960000	11.379233653802318	(137920000, 0)	(137920000, 0)	0.0
chr8	138000000	138040000	12.473802426515087	(138000000, 0)	(138040000, 0)	40000.0
chr8	138080000	138120000	9.069337564641067	(138080000, 0)	(138040000, 0)	40000.0
chr8	138160000	138200000	9.508096156449474	(138160000, 0)	(138160000, 0)	0.0
chr8	138240000	138280000	11.004212514325333	(138240000, 0)	(138240000, 0)	0.0
chr8	138280000	138320000	7.907943365681013	(138280000, 0)	(138280000, 0)	0.0
chr8	138480000	138520000	9.69883457778074	(138480000, 0)	(138480000, 0)	0.0
chr8	138600000	138640000	7.622968169364277	(138600000, 0)	(138600000, 0)	0.0
chr8	138640000	138680000	8.663490484657096	(138640000, 0)	(138640000, 0)	0.0
chr8	138720000	138760000	10.27232681969016	(138720000, 0)	(138720000, 0)	0.0
chr8	138800000	138840000	9.730148911839064	(138800000, 0)	(138800000, 0)	0.0
chr8	138840000	138880000	9.631751739303484	(138840000, 0)	(138840000, 0)	0.0
chr8	139000000	139040000	8.043766357367582	(139000000, 0)	(139040000, 0)	40000.0
chr8	139200000	139240000	8.945184060915876	(139200000, 0)	(139200000, 0)	0.0
chr8	139240000	139280000	10.508612021854436	(139240000, 0)	(139240000, 0)	0.0
chr8	139280000	139320000	9.219888122122093	(139280000, 0)	(139280000, 0)	0.0
chr8	139320000	139360000	11.747945656025795	(139320000, 0)	(139320000, 0)	0.0
chr8	139400000	139440000	18.178370051862586	(139400000, 0)	(139360000, 0)	40000.0
chr8	139440000	139480000	8.161068489431665	(139440000, 0)	(139440000, 0)	0.0
chr8	140640000	140680000	12.096959942306773	(140640000, 0)	(140600000, 0)	40000.0
chr8	142000000	142040000	9.709140271746687	(142000000, 0)	(142040000, 0)	40000.0
chr8	142120000	142160000	8.66648157432063	(142120000, 0)	(142120000, 0)	0.0
chr8	142720000	142760000	8.771773284789138	(142720000, 0)	(142760000, 0)	40000.0
chr8	143720000	143760000	7.2621336360408435	(143720000, 0)	(143720000, 0)	0.0
chr8	143800000	143840000	13.859170690400088	(143800000, 0)	(143800000, 0)	0.0
chr8	144280000	144320000	9.180294468642973	(144280000, 0)	(144280000, 0)	0.0
chr9	6760000	6800000	9.446743956372924	(6760000, 0)	(6800000, 0)	40000.0
chr9	16200000	16240000	7.5783196783316304	(16200000, 0)	(16240000, 0)	40000.0
chr9	33000000	33040000	9.260813988103315	(33000000, 0)	(33000000, 0)	0.0
chr9	83680000	83720000	8.209325660717441	(83680000, 0)	(83680000, 0)	0.0
chr9	94560000	94600000	10.550344879094895	(94560000, 0)	(94560000, 0)	0.0
chr9	96760000	96800000	7.0934211059441825	(96760000, 0)	(96720000, 0)	40000.0
chr9	137960000	138000000	9.320730245077351	(137960000, 0)	(137920000, 0)	40000.0
chr10	37680000	37720000	10.135620504487518	(37680000, 0)	(37680000, 0)	0.0
chr10	37720000	37760000	8.737299738685419	(37720000, 0)	(37720000, 0)	0.0
chr10	37760000	37800000	10.215118564865463	(37760000, 0)	(37760000, 0)	0.0
chr10	37800000	37840000	7.637446419190283	(37800000, 0)	(37800000, 0)	0.0
chr10	43440000	43480000	8.070358123159222	(43440000, 0)	(43440000, 0)	0.0
chr10	45360000	45400000	7.543615075923327	(45360000, 0)	(45320000, 0)	40000.0
chr10	73800000	73840000	11.441130597986806	(73800000, 0)	(73800000, 0)	0.0
chr10	79200000	79240000	8.362501853772429	(79200000, 0)	(79200000, 0)	0.0
chr10	85160000	85200000	7.2267866163460495	(85160000, 0)	(85120000, 0)	40000.0
chr10	127000000	127040000	11.908883771360633	(127000000, 0)	(127000000, 0)	0.0
chr10	128880000	128920000	7.289822569939332	(128880000, 0)	(128880000, 0)	0.0
chr10	130360000	130400000	8.999119803400909	(130360000, 0)	(130360000, 0)	0.0
chr10	130400000	130440000	8.64001303528243	(130400000, 0)	(130400000, 0)	0.0
chr10	130440000	130480000	11.887191837442172	(130440000, 0)	(130440000, 0)	0.0
chr10	130480000	130520000	7.853713162544439	(130480000, 0)	(130480000, 0)	0.0
chr10	130520000	130560000	9.790837306059938	(130520000, 0)	(130520000, 0)	0.0
chr10	130560000	130600000	15.633569354812794	(130560000, 0)	(130560000, 0)	0.0
chr10	130600000	130640000	7.386606908467924	(130600000, 0)	(130600000, 0)	0.0
chr10	130640000	130680000	15.18030894299745	(130640000, 0)	(130640000, 0)	0.0
chr10	130680000	130720000	13.333248616096759	(130680000, 0)	(130680000, 0)	0.0
chr10	130720000	130760000	9.868807420227409	(130720000, 0)	(130720000, 0)	0.0
chr10	130800000	130840000	9.361345388516268	(130800000, 0)	(130800000, 0)	0.0
chr10	131120000	131160000	7.2191527657903025	(131120000, 0)	(131120000, 0)	0.0
chr10	131160000	131200000	9.902262685599297	(131160000, 0)	(131160000, 0)	0.0
chr10	131240000	131280000	11.785108779829063	(131240000, 0)	(131240000, 0)	0.0
chr10	131760000	131800000	8.74442906006144	(131760000, 0)	(131760000, 0)	0.0
chr11	520000	560000	10.615656041000936	(520000, 0)	(520000, 0)	0.0
chr11	1160000	1200000	10.524246634214274	(1160000, 0)	(1160000, 0)	0.0
chr11	1200000	1240000	7.202600619034076	(1200000, 0)	(1200000, 0)	0.0
chr11	1280000	1320000	7.384333855941695	(1280000, 0)	(1240000, 0)	40000.0
chr11	1360000	1400000	9.09661543552113	(1360000, 0)	(1400000, 0)	40000.0
chr11	4160000	4200000	10.533634692309358	(4160000, 0)	(4160000, 0)	0.0
chr11	34120000	34160000	7.446943740827462	(34120000, 0)	(34120000, 0)	0.0
chr11	48520000	48560000	7.439859558998179	(48520000, 0)	(48520000, 0)	0.0
chr11	71880000	71920000	7.772253616494781	(71880000, 0)	(71920000, 0)	40000.0
chr11	117200000	117240000	7.874255029426781	(117200000, 0)	(117160000, 0)	40000.0
chr11	117280000	117320000	7.0879619599477275	(117280000, 0)	(117280000, 0)	0.0
chr12	5480000	5520000	8.572401332607592	(5480000, 0)	(5480000, 0)	0.0
chr12	31640000	31680000	7.2451717803277935	(31640000, 0)	(31640000, 0)	0.0
chr12	34200000	34240000	7.8689709420423535	(34200000, 0)	(34160000, 0)	40000.0
chr12	34320000	34360000	9.946646499774076	(34320000, 0)	(34320000, 0)	0.0
chr12	37400000	37440000	7.132989224233122	(37400000, 0)	(37400000, 0)	0.0
chr12	50440000	50480000	7.941262716487057	(50440000, 0)	(50440000, 0)	0.0
chr12	122200000	122240000	10.597497580837814	(122200000, 0)	(122240000, 0)	40000.0
chr12	124320000	124360000	9.235840982763523	(124320000, 0)	(124320000, 0)	0.0
chr12	124360000	124400000	9.550247336584388	(124360000, 0)	(124360000, 0)	0.0
chr12	126000000	126040000	7.7450505556293	(126000000, 0)	(125960000, 0)	40000.0
chr12	127880000	127920000	8.307225238999576	(127880000, 0)	(127880000, 0)	0.0
chr12	128040000	128080000	7.767520671418017	(128040000, 0)	(128000000, 0)	40000.0
chr12	128360000	128400000	7.8703914834269035	(128360000, 0)	(128400000, 0)	40000.0
chr12	128440000	128480000	8.949604526691292	(128440000, 0)	(128400000, 0)	40000.0
chr12	128560000	128600000	7.093041252050212	(128560000, 0)	(128560000, 0)	0.0
chr12	128720000	128760000	8.811656910048148	(128720000, 0)	(128720000, 0)	0.0
chr12	129040000	129080000	9.127943919477856	(129040000, 0)	(129000000, 0)	40000.0
chr12	129080000	129120000	8.172990448041428	(129080000, 0)	(129080000, 0)	0.0
chr12	129200000	129240000	8.527674611213866	(129200000, 0)	(129160000, 0)	40000.0
chr12	129240000	129280000	7.40878324997654	(129240000, 0)	(129240000, 0)	0.0
chr12	129320000	129360000	7.491864687523378	(129320000, 0)	(129360000, 0)	40000.0
chr12	129440000	129480000	8.233890828095339	(129440000, 0)	(129440000, 0)	0.0
chr12	129760000	129800000	7.071790376691755	(129760000, 0)	(129760000, 0)	0.0
chr12	130080000	130120000	7.158525098037624	(130080000, 0)	(130080000, 0)	0.0
chr12	130160000	130200000	8.294223621561589	(130160000, 0)	(130160000, 0)	0.0
chr12	130200000	130240000	14.66825722857659	(130200000, 0)	(130200000, 0)	0.0
chr12	130240000	130280000	8.272936793084453	(130240000, 0)	(130240000, 0)	0.0
chr12	130360000	130400000	8.597484147968226	(130360000, 0)	(130360000, 0)	0.0
chr12	130440000	130480000	7.766938022050222	(130440000, 0)	(130400000, 0)	40000.0
chr12	130520000	130560000	8.861317611909907	(130520000, 0)	(130520000, 0)	0.0
chr12	130600000	130640000	8.033153836561024	(130600000, 0)	(130560000, 0)	40000.0
chr12	132040000	132080000	7.026038422571437	(132040000, 0)	(132040000, 0)	0.0
chr12	132880000	132920000	10.942396919198428	(132880000, 0)	(132840000, 0)	40000.0
chr13	18720000	18760000	7.470818612152794	(18720000, 0)	(18720000, 0)	0.0
chr13	18840000	18880000	11.38936970085287	(18840000, 0)	(18840000, 0)	0.0
chr13	18920000	18960000	10.898532131692612	(18920000, 0)	(18920000, 0)	0.0
chr13	18960000	19000000	8.497429809451495	(18960000, 0)	(18960000, 0)	0.0
chr13	19040000	19080000	10.148247898240829	(19040000, 0)	(19040000, 0)	0.0
chr13	19160000	19200000	8.863185556110324	(19160000, 0)	(19160000, 0)	0.0
chr13	19240000	19280000	9.656549568801	(19240000, 0)	(19200000, 0)	40000.0
chr13	19360000	19400000	9.704072921993506	(19360000, 0)	(19360000, 0)	0.0
chr13	19480000	19520000	8.381334180120971	(19480000, 0)	(19480000, 0)	0.0
chr13	19520000	19560000	10.072404388327246	(19520000, 0)	(19520000, 0)	0.0
chr13	19600000	19640000	8.272737723662695	(19600000, 0)	(19600000, 0)	0.0
chr13	22960000	23000000	8.294196860528286	(22960000, 0)	(22960000, 0)	0.0
chr13	25000000	25040000	8.198003750986317	(25000000, 0)	(24960000, 0)	40000.0
chr13	112840000	112880000	9.202853650427134	(112840000, 0)	(112880000, 0)	40000.0
chr13	113920000	113960000	8.61908457556004	(113920000, 0)	(113920000, 0)	0.0
chr14	19800000	19840000	9.197058632688147	(19800000, 0)	(19840000, 0)	40000.0
chr14	34440000	34480000	7.566390578500572	(34440000, 0)	(34400000, 0)	40000.0
chr14	102920000	102960000	9.404475327085157	(102920000, 0)	(102920000, 0)	0.0
chr14	105360000	105400000	8.561458247905946	(105360000, 0)	(105360000, 0)	0.0
chr14	105760000	105800000	8.362067066846933	(105760000, 0)	(105800000, 0)	40000.0
chr14	105840000	105880000	9.768764922830393	(105840000, 0)	(105840000, 0)	0.0
chr14	105920000	105960000	8.933921716743766	(105920000, 0)	(105920000, 0)	0.0
chr15	42720000	42760000	7.683209176777225	(42720000, 0)	(42720000, 0)	0.0
chr15	72160000	72200000	7.61326718647684	(72160000, 0)	(72160000, 0)	0.0
chr15	72320000	72360000	9.16912254381349	(72320000, 0)	(72280000, 0)	40000.0
chr16	8280000	8320000	7.1525057940966095	(8280000, 0)	(8240000, 0)	40000.0
chr16	30720000	30760000	10.783375282759684	(30720000, 0)	(30720000, 0)	0.0
chr16	35400000	35440000	7.311519848701322	(35400000, 0)	(35360000, 0)	40000.0
chr16	89880000	89920000	9.706051368993279	(89880000, 0)	(89880000, 0)	0.0
chr16	89920000	89960000	11.308653487068126	(89920000, 0)	(89920000, 0)	0.0
chr17	1040000	1080000	8.552581806122546	(1040000, 0)	(1040000, 0)	0.0
chr17	1120000	1160000	9.196185058667892	(1120000, 0)	(1120000, 0)	0.0
chr17	5120000	5160000	9.29153162030072	(5120000, 0)	(5120000, 0)	0.0
chr17	18080000	18120000	8.412226787587306	(18080000, 0)	(18040000, 0)	40000.0
chr17	81160000	81200000	9.171038627840074	(81160000, 0)	(81160000, 0)	0.0
chr17	82080000	82120000	9.70377157614119	(82080000, 0)	(82080000, 0)	0.0
chr17	82360000	82400000	8.214104800492938	(82360000, 0)	(82400000, 0)	40000.0
chr18	13040000	13080000	7.116005295936809	(13040000, 0)	(13040000, 0)	0.0
chr18	14320000	14360000	10.050830452342632	(14320000, 0)	(14320000, 0)	0.0
chr18	78160000	78200000	7.411913777615252	(78160000, 0)	(78120000, 0)	40000.0
chr18	78200000	78240000	9.375638661260675	(78200000, 0)	(78200000, 0)	0.0
chr18	78320000	78360000	7.107695859010956	(78320000, 0)	(78360000, 0)	40000.0
