TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
USF2	2.154	1.561e-02	2.258	0.670	0.120	7.789e-03
INTS11	2.289	1.103e-02	1.683	0.675	0.120	7.789e-03
CSNK2A1	1.500	6.682e-02	1.666	0.687	0.122	8.144e-03
EGR1	2.389	8.441e-03	1.428	0.676	0.128	9.511e-03
PCGF1	1.751	4.000e-02	1.015	0.696	0.129	9.591e-03
MNT	1.457	7.255e-02	2.196	0.676	0.129	9.753e-03
SP2	2.613	4.493e-03	0.961	0.684	0.132	1.042e-02
LEO1	1.328	9.205e-02	2.294	0.677	0.133	1.067e-02
GMEB2	2.398	8.249e-03	0.551	0.715	0.134	1.085e-02
NCAPH2	1.984	2.361e-02	1.205	0.683	0.134	1.094e-02
LEF1	1.417	7.819e-02	1.205	0.697	0.135	1.102e-02
MAZ	2.477	6.632e-03	1.297	0.674	0.138	1.193e-02
E2F1	8.055	3.960e-16	0.193	0.709	0.143	1.328e-02
NFYB	1.419	7.788e-02	2.511	0.669	0.144	1.338e-02
ARID2	1.734	4.148e-02	0.936	0.690	0.144	1.338e-02
SAP30	2.987	1.408e-03	0.406	0.705	0.144	1.348e-02
HMGN3	1.283	9.982e-02	2.406	0.675	0.144	1.348e-02
TAF3	1.604	5.433e-02	0.938	0.694	0.147	1.430e-02
GATA1	0.841	2.002e-01	2.541	0.687	0.154	1.639e-02
ZNF687	1.613	5.334e-02	1.891	0.667	0.155	1.662e-02
SIRT1	1.004	1.576e-01	2.931	0.676	0.156	1.697e-02
HDGF	1.787	3.698e-02	1.378	0.670	0.160	1.842e-02
ZFX	2.010	2.220e-02	0.379	0.706	0.161	1.892e-02
ZNF121	1.551	6.043e-02	3.848	0.654	0.162	1.918e-02
FOXD2	1.339	9.034e-02	1.376	0.678	0.162	1.930e-02
TRIM24	1.285	9.940e-02	3.515	0.662	0.163	1.943e-02
GTF2E2	1.327	9.220e-02	1.458	0.677	0.163	1.956e-02
SP4	1.415	7.849e-02	0.847	0.689	0.168	2.143e-02
HDAC2	2.062	1.958e-02	1.140	0.669	0.169	2.184e-02
ZNF282	1.663	4.818e-02	1.225	0.671	0.170	2.226e-02
KAT8	1.656	4.890e-02	0.588	0.695	0.170	2.226e-02
ADNP	1.303	9.631e-02	3.762	0.656	0.171	2.254e-02
PML	2.173	1.490e-02	1.098	0.668	0.172	2.283e-02
NR2C2	3.149	8.201e-04	0.103	0.691	0.174	2.355e-02
CCNT2	1.124	1.304e-01	2.874	0.665	0.174	2.370e-02
NFAT5	1.442	7.464e-02	0.916	0.683	0.176	2.444e-02
ZNF263	1.758	3.940e-02	1.380	0.663	0.179	2.582e-02
KDM2B	3.117	9.136e-04	0.434	0.678	0.179	2.597e-02
RUNX1	2.309	1.048e-02	0.695	0.674	0.180	2.644e-02
RFX1	0.822	2.057e-01	1.653	0.688	0.180	2.644e-02
HLTF	1.282	9.992e-02	2.936	0.655	0.184	2.789e-02
NFIA	0.850	1.976e-01	5.093	0.666	0.184	2.822e-02
TRIM25	1.619	5.267e-02	1.631	0.658	0.185	2.855e-02
ID3	1.291	9.837e-02	3.086	0.654	0.185	2.872e-02
BCOR	1.527	6.339e-02	1.913	0.655	0.187	2.956e-02
NELFA	4.982	3.146e-07	-0.339	0.723	0.188	2.973e-02
KLF12	1.446	7.402e-02	0.673	0.683	0.190	3.095e-02
FEV	1.302	9.651e-02	1.106	0.676	0.190	3.095e-02
ELF1	3.061	1.103e-03	0.081	0.685	0.191	3.112e-02
GABP	1.348	8.887e-02	1.558	0.663	0.191	3.130e-02
ZKSCAN8	1.228	1.097e-01	2.355	0.656	0.193	3.255e-02
MLLT1	2.019	2.176e-02	0.260	0.685	0.196	3.403e-02
KRAB	1.940	2.617e-02	1.115	0.659	0.198	3.478e-02
MBTD1	1.118	1.317e-01	1.874	0.665	0.198	3.497e-02
PRAME	1.050	1.468e-01	2.514	0.660	0.198	3.516e-02
CDC5L	1.246	1.063e-01	2.102	0.656	0.199	3.535e-02
CPSF3L	2.266	1.174e-02	-0.181	0.704	0.199	3.554e-02
SMARCB1	1.057	1.453e-01	1.342	0.675	0.202	3.691e-02
KMT2A	2.114	1.726e-02	0.850	0.664	0.202	3.711e-02
WDR5	1.907	2.827e-02	0.166	0.686	0.204	3.831e-02
VEZF1	1.672	4.723e-02	0.712	0.671	0.205	3.871e-02
HDAC8	1.444	7.436e-02	1.499	0.656	0.205	3.892e-02
PHF8	5.273	6.704e-08	-0.473	0.714	0.207	3.974e-02
EMSY	1.629	5.170e-02	0.029	0.696	0.209	4.100e-02
RARA	0.744	2.285e-01	1.189	0.688	0.210	4.142e-02
TFDP1	2.131	1.654e-02	-0.007	0.687	0.210	4.164e-02
RBCK1	1.489	6.818e-02	0.317	0.686	0.210	4.164e-02
TGIF2	1.242	1.071e-01	1.850	0.655	0.211	4.206e-02
RUNX1T1	1.298	9.708e-02	1.149	0.666	0.213	4.337e-02
ZNF83	1.281	1.001e-01	2.170	0.650	0.214	4.403e-02
KDM5B	1.066	1.432e-01	0.668	0.689	0.214	4.426e-02
KLF6	1.218	1.116e-01	0.986	0.671	0.217	4.583e-02
CREB3	1.179	1.193e-01	2.567	0.648	0.217	4.629e-02
CNOT3	1.296	9.741e-02	1.657	0.653	0.219	4.721e-02
MYCN	2.499	6.233e-03	-0.419	0.706	0.219	4.745e-02
USF1	1.103	1.350e-01	1.805	0.657	0.220	4.768e-02
ZNF318	1.338	9.053e-02	2.509	0.642	0.220	4.768e-02
ZEB2	1.289	9.875e-02	3.312	0.641	0.220	4.792e-02
BHLHE40	1.180	1.189e-01	1.919	0.652	0.223	4.958e-02
TET2	0.632	2.638e-01	1.356	0.680	0.223	4.982e-02
POLR2B	1.953	2.543e-02	-0.332	0.704	0.224	5.055e-02
ZNF589	1.116	1.322e-01	2.245	0.650	0.225	5.128e-02
ZNF281	1.203	1.145e-01	0.942	0.670	0.225	5.153e-02
GLIS2	1.479	6.957e-02	0.933	0.660	0.227	5.252e-02
ZBTB10	1.408	7.960e-02	0.274	0.681	0.227	5.277e-02
NFRKB	1.303	9.636e-02	1.474	0.653	0.227	5.277e-02
EGR2	1.664	4.806e-02	1.342	0.648	0.228	5.302e-02
ZNF24	1.344	8.947e-02	1.945	0.643	0.228	5.327e-02
NFATC1	1.669	4.755e-02	-0.126	0.688	0.229	5.403e-02
KDM1A	0.356	3.608e-01	1.578	0.685	0.229	5.429e-02
FGFR1	1.720	4.269e-02	0.119	0.677	0.229	5.429e-02
ARNT	0.586	2.789e-01	4.235	0.657	0.230	5.506e-02
TAZ	0.964	1.674e-01	2.004	0.655	0.230	5.506e-02
NCOA1	1.110	1.335e-01	2.150	0.649	0.231	5.531e-02
PATZ1	1.642	5.027e-02	0.386	0.672	0.231	5.531e-02
POLR3A	1.052	1.463e-01	2.412	0.649	0.232	5.635e-02
ZNF584	1.091	1.377e-01	2.047	0.649	0.235	5.821e-02
L3MBTL2	1.010	1.562e-01	3.606	0.644	0.235	5.847e-02
HBP1	1.330	9.182e-02	1.047	0.657	0.237	5.955e-02
STAT2	1.667	4.778e-02	0.393	0.669	0.238	6.037e-02
GLI2	1.565	5.876e-02	-0.314	0.701	0.238	6.092e-02
ERG	1.381	8.357e-02	-0.160	0.695	0.239	6.120e-02
RAG2	1.209	1.133e-01	0.740	0.670	0.239	6.147e-02
TET3	1.112	1.331e-01	0.988	0.666	0.240	6.203e-02
THAP1	1.260	1.039e-01	0.572	0.673	0.240	6.203e-02
RARG	1.302	9.650e-02	1.287	0.652	0.240	6.259e-02
CHD1	4.130	1.811e-05	-0.743	0.704	0.240	6.259e-02
ZTA	0.797	2.127e-01	2.706	0.651	0.241	6.315e-02
MED1	3.598	1.605e-04	-0.791	0.709	0.243	6.486e-02
SMARCA4	0.878	1.900e-01	0.649	0.683	0.244	6.515e-02
NFYC	1.485	6.875e-02	-0.128	0.686	0.244	6.573e-02
GABPA	4.014	2.989e-05	-0.496	0.683	0.247	6.778e-02
CBX1	0.922	1.782e-01	1.005	0.668	0.248	6.837e-02
HMGN1	1.377	8.427e-02	0.028	0.680	0.249	6.957e-02
CDK7	1.882	2.992e-02	-0.493	0.699	0.249	6.987e-02
KLF3	0.980	1.634e-01	1.385	0.656	0.249	6.987e-02
ELK1	3.148	8.228e-04	-0.422	0.679	0.250	7.048e-02
STAT5B	1.575	5.768e-02	0.426	0.665	0.251	7.078e-02
REL	1.492	6.790e-02	0.113	0.673	0.252	7.232e-02
ZNF197	1.095	1.367e-01	1.854	0.646	0.253	7.263e-02
MIER1	0.970	1.660e-01	2.823	0.641	0.253	7.263e-02
TAFII	2.022	2.160e-02	-0.469	0.690	0.255	7.450e-02
RBBP5	2.480	6.571e-03	-0.393	0.680	0.256	7.513e-02
ZBTB14	1.246	1.065e-01	0.412	0.673	0.256	7.513e-02
HINFP	1.116	1.323e-01	1.597	0.647	0.257	7.609e-02
E2F5	0.968	1.666e-01	2.208	0.644	0.258	7.705e-02
BCLAF1	0.901	1.839e-01	0.767	0.672	0.260	7.868e-02
CDK8	2.005	2.249e-02	-0.264	0.674	0.262	8.099e-02
ORC1	1.355	8.768e-02	-0.119	0.679	0.262	8.099e-02
ZNF644	0.979	1.637e-01	1.737	0.646	0.264	8.266e-02
TAL1	-0.299	6.175e-01	1.652	0.699	0.264	8.300e-02
ZBTB11	2.584	4.882e-03	-0.326	0.672	0.265	8.334e-02
ARNT2	1.200	1.151e-01	0.464	0.670	0.265	8.334e-02
ELL2	3.214	6.550e-04	-0.675	0.686	0.265	8.368e-02
BPTF	0.974	1.649e-01	1.134	0.656	0.265	8.402e-02
ZNF592	1.042	1.488e-01	0.982	0.657	0.268	8.644e-02
KLF4	0.468	3.200e-01	1.358	0.668	0.268	8.678e-02
KLF17	1.177	1.195e-01	1.065	0.649	0.271	8.925e-02
EGR3	0.789	2.150e-01	2.189	0.645	0.271	8.925e-02
TAF7	1.606	5.410e-02	-0.060	0.670	0.271	8.961e-02
PHIP	1.998	2.287e-02	-0.016	0.662	0.272	9.032e-02
ZNF341	1.337	9.055e-02	0.845	0.648	0.274	9.213e-02
CSDE1	1.009	1.565e-01	0.799	0.661	0.274	9.249e-02
ZNF770	0.666	2.527e-01	4.688	0.639	0.274	9.285e-02
ZMYND8	1.375	8.452e-02	0.546	0.655	0.276	9.432e-02
MTA2	0.780	2.178e-01	1.429	0.653	0.276	9.506e-02
ASCL2	1.143	1.264e-01	0.442	0.666	0.277	9.543e-02
KLF5	1.047	1.475e-01	0.244	0.676	0.278	9.655e-02
UBTF	1.633	5.120e-02	-0.575	0.691	0.278	9.655e-02
NBN	1.289	9.866e-02	0.630	0.655	0.278	9.655e-02
CDK9	3.490	2.417e-04	-1.022	0.692	0.278	9.693e-02
ZNF783	1.218	1.116e-01	0.150	0.671	0.279	9.806e-02
ZIC2	1.331	9.162e-02	-0.232	0.677	0.280	9.844e-02
BCL11B	2.606	4.574e-03	-0.757	0.685	0.280	9.920e-02
ORC2	0.765	2.221e-01	1.953	0.644	0.281	9.958e-02
NR2F6	0.839	2.007e-01	4.633	0.631	0.282	1.011e-01
TARDBP	1.136	1.281e-01	0.497	0.663	0.283	1.023e-01
SETD1A	1.222	1.108e-01	0.334	0.665	0.284	1.031e-01
RELA	1.065	1.435e-01	-0.202	0.686	0.287	1.058e-01
TRAF7	1.320	9.339e-02	-0.196	0.675	0.287	1.058e-01
MBD1	1.135	1.282e-01	1.444	0.638	0.287	1.062e-01
IKZF2	0.850	1.978e-01	1.917	0.639	0.287	1.062e-01
ZNF436	0.685	2.466e-01	2.438	0.640	0.287	1.066e-01
HCFC1	2.493	6.327e-03	-0.988	0.691	0.288	1.070e-01
EZH1	1.333	9.127e-02	0.185	0.661	0.289	1.082e-01
NPAT	1.211	1.129e-01	0.037	0.671	0.289	1.086e-01
YY1	4.686	1.391e-06	-1.234	0.688	0.293	1.132e-01
SMARCA5	0.360	3.593e-01	2.208	0.649	0.296	1.165e-01
PKNOX1	0.677	2.493e-01	3.680	0.631	0.297	1.178e-01
FOXK2	1.137	1.277e-01	0.858	0.646	0.299	1.200e-01
TBL1XR1	0.959	1.687e-01	0.928	0.651	0.299	1.204e-01
ZKSCAN1	0.690	2.451e-01	0.728	0.665	0.299	1.208e-01
PHF6	1.316	9.401e-02	-0.345	0.677	0.300	1.213e-01
ZSCAN29	0.908	1.819e-01	1.548	0.639	0.300	1.213e-01
SREBF1	1.393	8.185e-02	-0.321	0.672	0.301	1.226e-01
FOXK1	0.815	2.076e-01	1.058	0.650	0.302	1.243e-01
CEBPD	0.389	3.486e-01	1.344	0.657	0.303	1.252e-01
TFAP2C	0.649	2.581e-01	1.802	0.641	0.303	1.257e-01
CBX8	0.418	3.379e-01	0.031	0.699	0.304	1.266e-01
TAF1	3.499	2.334e-04	-1.106	0.681	0.304	1.270e-01
BCL3	3.546	1.952e-04	-1.017	0.678	0.305	1.275e-01
RXRG	1.162	1.226e-01	0.475	0.654	0.306	1.284e-01
RAD51	0.662	2.540e-01	1.418	0.646	0.306	1.288e-01
BRD4	4.788	8.431e-07	-2.039	0.701	0.306	1.288e-01
RPE	2.875	2.020e-03	-1.391	0.691	0.306	1.293e-01
DDX21	2.217	1.330e-02	-1.336	0.697	0.307	1.302e-01
ZNF131	1.526	6.350e-02	-0.798	0.689	0.307	1.302e-01
CEBPA	0.234	4.073e-01	0.667	0.679	0.307	1.307e-01
AFF4	3.830	6.397e-05	-1.830	0.697	0.307	1.307e-01
U2AF1	3.008	1.317e-03	-1.602	0.693	0.308	1.320e-01
SMARCE1	0.216	4.143e-01	3.787	0.641	0.309	1.330e-01
GTF2I	0.203	4.196e-01	1.112	0.667	0.310	1.334e-01
HOXA6	1.042	1.488e-01	0.349	0.660	0.310	1.334e-01
PHF2	2.120	1.701e-02	-1.090	0.688	0.310	1.344e-01
RCOR1	0.509	3.053e-01	1.921	0.640	0.311	1.348e-01
HOXA4	0.909	1.817e-01	0.767	0.652	0.311	1.358e-01
NELFE	4.629	1.837e-06	-2.198	0.700	0.313	1.377e-01
SP3	1.330	9.172e-02	0.052	0.655	0.313	1.381e-01
KLF10	1.614	5.327e-02	-0.410	0.667	0.313	1.381e-01
CHD2	1.349	8.871e-02	-0.329	0.668	0.313	1.386e-01
DPF2	0.323	3.733e-01	3.190	0.639	0.314	1.391e-01
INO80	1.728	4.201e-02	-1.217	0.697	0.314	1.391e-01
DDX20	0.605	2.727e-01	1.505	0.644	0.314	1.391e-01
GRHL3	0.443	3.289e-01	1.742	0.645	0.314	1.391e-01
TFAP4	0.356	3.610e-01	1.947	0.645	0.314	1.396e-01
CDK6	1.116	1.323e-01	-0.026	0.665	0.318	1.449e-01
ETS1	3.943	4.025e-05	-1.453	0.681	0.318	1.454e-01
KLF15	1.552	6.038e-02	-0.936	0.688	0.319	1.459e-01
SON	0.704	2.406e-01	1.352	0.641	0.320	1.469e-01
HES1	0.458	3.235e-01	1.488	0.646	0.321	1.489e-01
ZNF600	0.788	2.152e-01	1.591	0.633	0.321	1.489e-01
KMT2D	3.064	1.092e-03	-1.577	0.684	0.322	1.499e-01
SREBF2	1.159	1.233e-01	-0.222	0.667	0.323	1.514e-01
ZBTB17	0.494	3.106e-01	0.872	0.656	0.324	1.529e-01
KDM4B	1.430	7.643e-02	-0.396	0.666	0.326	1.565e-01
E2F4	2.718	3.285e-03	-1.859	0.689	0.327	1.570e-01
KDM4C	1.123	1.308e-01	-0.159	0.665	0.327	1.570e-01
JMJD1C	0.484	3.143e-01	0.958	0.653	0.327	1.575e-01
SPIN1	1.526	6.356e-02	-1.048	0.689	0.327	1.580e-01
ELK4	2.638	4.174e-03	-1.952	0.691	0.328	1.586e-01
ZNF467	0.677	2.492e-01	1.324	0.639	0.328	1.591e-01
ESRRA	0.319	3.750e-01	0.928	0.660	0.331	1.628e-01
ZBTB8A	1.059	1.448e-01	0.606	0.645	0.331	1.633e-01
ETV1	0.983	1.629e-01	0.578	0.647	0.332	1.644e-01
E2F3	0.924	1.778e-01	0.460	0.652	0.332	1.644e-01
BACH1	0.629	2.648e-01	1.240	0.640	0.333	1.665e-01
ZNF18	0.926	1.773e-01	0.342	0.655	0.333	1.665e-01
HSF1	1.342	8.978e-02	-0.390	0.664	0.334	1.681e-01
CHAMP1	0.614	2.697e-01	1.758	0.631	0.334	1.681e-01
EP400	0.858	1.955e-01	0.605	0.649	0.336	1.709e-01
TERC	0.448	3.271e-01	2.991	0.623	0.337	1.720e-01
COPS2	0.849	1.980e-01	0.616	0.648	0.338	1.736e-01
ZNF423	0.974	1.651e-01	0.635	0.643	0.339	1.758e-01
SSRP1	0.598	2.750e-01	1.478	0.635	0.340	1.764e-01
ZBTB6	0.846	1.988e-01	1.134	0.633	0.341	1.787e-01
PAX5	0.661	2.544e-01	0.363	0.659	0.342	1.792e-01
TCF7L1	0.338	3.675e-01	0.960	0.654	0.342	1.792e-01
CREBBP	0.147	4.414e-01	0.211	0.683	0.342	1.798e-01
NOTCH1	1.201	1.148e-01	-0.529	0.674	0.342	1.798e-01
ZMIZ1	0.767	2.216e-01	0.691	0.647	0.343	1.815e-01
SIRT6	0.428	3.342e-01	2.349	0.626	0.343	1.821e-01
GTF2B	3.417	3.165e-04	-4.230	0.703	0.344	1.832e-01
RAC3	0.686	2.464e-01	0.988	0.640	0.344	1.832e-01
SNAI2	0.219	4.133e-01	2.206	0.635	0.347	1.872e-01
RBPJ	1.179	1.192e-01	-0.387	0.665	0.347	1.878e-01
POLR2AphosphoS5	0.725	2.341e-01	0.511	0.651	0.348	1.901e-01
IKZF1	0.779	2.181e-01	0.908	0.639	0.349	1.913e-01
ARID5B	0.927	1.771e-01	0.166	0.653	0.349	1.913e-01
BCL6	0.574	2.829e-01	0.157	0.666	0.350	1.925e-01
CD74	0.913	1.807e-01	-0.078	0.659	0.350	1.937e-01
SMAD5	1.927	2.702e-02	-1.584	0.680	0.351	1.943e-01
HDAC6	1.353	8.798e-02	-0.507	0.662	0.352	1.967e-01
FOXJ2	0.868	1.928e-01	0.759	0.638	0.353	1.973e-01
ZEB1	0.988	1.616e-01	-0.148	0.658	0.353	1.984e-01
SOX9	1.135	1.282e-01	-0.601	0.674	0.353	1.984e-01
NCOR1	1.118	1.318e-01	-0.717	0.677	0.354	1.990e-01
MEF2D	0.556	2.892e-01	1.791	0.624	0.354	1.990e-01
SATB1	-1.103	8.650e-01	1.426	0.682	0.356	2.021e-01
INTS12	0.936	1.747e-01	0.042	0.653	0.356	2.021e-01
C11orf30	0.378	3.527e-01	2.271	0.623	0.356	2.033e-01
ZFP2	0.811	2.088e-01	0.688	0.640	0.359	2.076e-01
GTF2F1	1.241	1.073e-01	-1.024	0.682	0.360	2.100e-01
KDM5A	2.754	2.940e-03	-3.480	0.688	0.362	2.125e-01
ZNF143	1.969	2.449e-02	-1.050	0.666	0.363	2.150e-01
ARNTL	1.248	1.060e-01	-1.679	0.698	0.365	2.182e-01
POLR2H	0.825	2.046e-01	0.716	0.637	0.365	2.182e-01
LARP7	-0.092	5.366e-01	1.004	0.658	0.366	2.207e-01
MYBL2	0.349	3.634e-01	2.075	0.622	0.368	2.232e-01
TFAP2A	0.126	4.497e-01	1.534	0.638	0.371	2.297e-01
XRN2	3.044	1.169e-03	-3.165	0.678	0.372	2.310e-01
NR4A1	0.442	3.292e-01	0.824	0.642	0.372	2.316e-01
KDM5C	1.321	9.325e-02	-1.965	0.692	0.373	2.336e-01
KLF11	1.059	1.449e-01	0.226	0.639	0.376	2.375e-01
BCL11A	-0.162	5.643e-01	-0.005	0.689	0.376	2.382e-01
TCF12	0.091	4.636e-01	0.615	0.660	0.377	2.395e-01
KDM4A	0.610	2.710e-01	0.791	0.636	0.377	2.408e-01
CD59	0.557	2.887e-01	0.954	0.633	0.378	2.422e-01
ZC3H8	0.570	2.845e-01	0.478	0.647	0.379	2.428e-01
NFKB1	0.752	2.261e-01	0.663	0.635	0.379	2.435e-01
H2AZ	1.735	4.134e-02	-2.535	0.681	0.380	2.448e-01
SPI1	-0.921	8.214e-01	0.524	0.700	0.380	2.462e-01
NR2F1	0.038	4.849e-01	1.492	0.639	0.381	2.475e-01
NFE2	0.608	2.716e-01	0.241	0.649	0.384	2.522e-01
ZNF284	0.170	4.326e-01	3.172	0.613	0.385	2.549e-01
BRD2	2.697	3.500e-03	-3.079	0.675	0.385	2.549e-01
OGT	2.239	1.257e-02	-3.338	0.678	0.389	2.625e-01
STAT1	0.675	2.500e-01	-0.044	0.651	0.390	2.639e-01
HNF4A	0.045	4.822e-01	1.680	0.632	0.390	2.652e-01
ZNF76	1.238	1.079e-01	-0.839	0.665	0.391	2.659e-01
E2F7	0.171	4.322e-01	-0.430	0.686	0.394	2.729e-01
GLIS1	0.442	3.292e-01	0.830	0.634	0.395	2.736e-01
DMC1	0.097	4.615e-01	5.446	0.608	0.395	2.750e-01
KLF16	0.181	4.283e-01	1.998	0.616	0.396	2.757e-01
RBP2	1.602	5.462e-02	-8.378	0.694	0.396	2.764e-01
BRCA1	1.443	7.453e-02	-2.820	0.684	0.397	2.785e-01
DCP1A	1.880	3.005e-02	-4.168	0.682	0.397	2.785e-01
CUX1	0.020	4.919e-01	0.916	0.646	0.400	2.842e-01
WDHD1	0.684	2.469e-01	0.551	0.632	0.400	2.842e-01
H2AFX	-1.031	8.487e-01	0.950	0.672	0.402	2.870e-01
SIX5	1.839	3.292e-02	-2.377	0.671	0.402	2.878e-01
JUNB	-0.059	5.234e-01	-0.005	0.673	0.403	2.892e-01
ZBTB40	0.807	2.099e-01	-0.136	0.646	0.403	2.892e-01
CTCFL	0.580	2.809e-01	0.518	0.636	0.404	2.913e-01
ATF3	-0.028	5.113e-01	-0.140	0.674	0.409	3.022e-01
NFIC	-0.065	5.261e-01	1.112	0.640	0.409	3.029e-01
DDX5	-0.185	5.734e-01	0.643	0.656	0.410	3.037e-01
PBX2	0.440	3.300e-01	0.965	0.622	0.410	3.037e-01
ZNF384	-0.211	5.837e-01	1.852	0.631	0.410	3.044e-01
BARX1	0.827	2.042e-01	-0.272	0.647	0.411	3.051e-01
IRF3	1.250	1.057e-01	-1.632	0.672	0.411	3.059e-01
BRD3	1.698	4.473e-02	-2.614	0.671	0.412	3.073e-01
RYBP	0.473	3.182e-01	0.042	0.647	0.412	3.073e-01
SRF	0.235	4.072e-01	-0.072	0.657	0.413	3.103e-01
ZNF441	0.545	2.929e-01	0.536	0.633	0.413	3.103e-01
MKL1	0.915	1.801e-01	-0.457	0.652	0.413	3.110e-01
SKI	0.494	3.105e-01	0.576	0.630	0.416	3.169e-01
CREM	0.256	3.988e-01	0.508	0.641	0.417	3.176e-01
MED12	0.626	2.655e-01	0.306	0.634	0.418	3.206e-01
ZNF257	0.307	3.795e-01	1.129	0.620	0.418	3.214e-01
ERCC6	-0.015	5.061e-01	-0.557	0.690	0.419	3.228e-01
SRSF3	1.664	4.802e-02	-3.333	0.673	0.420	3.251e-01
MYNN	0.567	2.854e-01	0.013	0.643	0.421	3.258e-01
ZNF766	-0.123	5.491e-01	1.472	0.630	0.421	3.273e-01
JMJD6	0.451	3.261e-01	-0.437	0.663	0.422	3.281e-01
YBX3	0.766	2.218e-01	-0.064	0.638	0.423	3.303e-01
BARX2	1.314	9.437e-02	-2.742	0.677	0.423	3.303e-01
BRDU	-1.343	9.104e-01	0.912	0.673	0.423	3.311e-01
ZBTB42	0.249	4.017e-01	1.170	0.616	0.424	3.326e-01
ZNF175	0.054	4.783e-01	0.637	0.642	0.425	3.341e-01
RBL2	2.200	1.391e-02	-5.297	0.669	0.426	3.371e-01
PYGO2	0.199	4.212e-01	1.267	0.615	0.428	3.409e-01
SUMO2	-2.555	9.947e-01	1.082	0.681	0.428	3.424e-01
LMO2	0.266	3.952e-01	0.671	0.631	0.429	3.432e-01
NCAPG	0.128	4.492e-01	0.990	0.625	0.429	3.432e-01
IRF9	0.111	4.557e-01	1.551	0.612	0.430	3.454e-01
ZFP57	-0.092	5.367e-01	2.342	0.610	0.430	3.454e-01
LMO1	0.428	3.345e-01	0.622	0.626	0.430	3.454e-01
DNMT1	0.243	4.041e-01	0.075	0.648	0.431	3.470e-01
EBF1	0.274	3.921e-01	0.752	0.626	0.432	3.500e-01
SCML2	0.562	2.872e-01	0.077	0.637	0.433	3.523e-01
FOXO3	0.204	4.193e-01	0.479	0.638	0.434	3.539e-01
HMBOX1	0.113	4.549e-01	1.573	0.610	0.434	3.539e-01
DLX1	0.774	2.196e-01	-0.348	0.645	0.436	3.577e-01
DROSHA	0.590	2.774e-01	-0.775	0.666	0.436	3.577e-01
ZNF468	0.462	3.219e-01	0.394	0.628	0.437	3.608e-01
TCF7	-0.373	6.455e-01	0.852	0.645	0.437	3.615e-01
PRDM2	0.826	2.045e-01	-0.364	0.642	0.437	3.615e-01
