TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
ZNF217	0.692	2.445e-01	3.642	0.472	0.226	5.177e-02
HMG20A	0.890	1.867e-01	1.725	0.480	0.228	5.302e-02
BATF3	0.844	1.995e-01	1.891	0.478	0.229	5.378e-02
ZNF549	0.510	3.051e-01	7.757	0.465	0.229	5.378e-02
SUZ12	0.443	3.290e-01	0.817	0.511	0.229	5.403e-02
SMN1	0.567	2.852e-01	5.511	0.467	0.229	5.429e-02
ZNF169	0.567	2.853e-01	5.542	0.467	0.229	5.429e-02
FANCD2	0.476	3.170e-01	9.793	0.464	0.229	5.429e-02
HHEX	0.801	2.117e-01	4.034	0.468	0.230	5.454e-02
ZNF512	0.605	2.726e-01	5.666	0.465	0.230	5.506e-02
NR1H3	1.057	1.453e-01	2.657	0.471	0.234	5.741e-02
MAFG	0.691	2.447e-01	4.993	0.465	0.234	5.794e-02
NR5A2	0.558	2.883e-01	3.014	0.476	0.234	5.794e-02
RNF2	0.507	3.061e-01	1.598	0.491	0.235	5.874e-02
SMAD4	0.393	3.470e-01	1.134	0.503	0.235	5.874e-02
BCL11A	0.194	4.232e-01	0.667	0.531	0.236	5.901e-02
ZNF362	0.689	2.455e-01	4.215	0.466	0.238	6.065e-02
TCF7L2	0.444	3.286e-01	1.095	0.499	0.238	6.092e-02
NCAPG2	0.644	2.599e-01	3.638	0.471	0.239	6.147e-02
LYL1	0.823	2.053e-01	1.666	0.476	0.241	6.287e-02
NR2F2	0.492	3.112e-01	1.956	0.482	0.242	6.344e-02
ZNF573	0.552	2.904e-01	4.840	0.467	0.242	6.344e-02
GFI1B	0.595	2.759e-01	3.011	0.473	0.243	6.486e-02
ZNF605	0.544	2.931e-01	4.692	0.467	0.246	6.719e-02
ZNF17	0.465	3.208e-01	6.449	0.464	0.247	6.748e-02
GREB1	0.799	2.121e-01	2.298	0.471	0.247	6.778e-02
FAIRE	0.531	2.977e-01	-0.141	0.511	0.247	6.808e-02
ERCC3	0.606	2.722e-01	3.388	0.469	0.247	6.808e-02
ZNF808	0.304	3.805e-01	23.890	0.458	0.248	6.897e-02
SRF	0.570	2.842e-01	0.484	0.496	0.249	6.987e-02
NFE2L1	0.788	2.152e-01	3.060	0.466	0.250	7.048e-02
HIF1A	0.587	2.785e-01	2.426	0.474	0.251	7.078e-02
SRCAP	0.384	3.503e-01	7.513	0.461	0.251	7.139e-02
DPPA2	0.413	3.399e-01	7.027	0.462	0.251	7.139e-02
ZNF84	0.520	3.016e-01	4.304	0.466	0.255	7.482e-02
ATF3	0.382	3.512e-01	0.658	0.498	0.256	7.577e-02
NIPBL	0.647	2.587e-01	0.449	0.489	0.257	7.641e-02
ZNF182	0.520	3.015e-01	4.056	0.466	0.258	7.770e-02
ZNF664	0.618	2.683e-01	3.945	0.464	0.259	7.802e-02
SCRT2	0.474	3.179e-01	5.880	0.460	0.259	7.835e-02
STAT4	0.474	3.178e-01	2.590	0.473	0.260	7.868e-02
ZNF75D	0.377	3.532e-01	8.917	0.458	0.262	8.099e-02
NR1H2	0.950	1.710e-01	1.724	0.468	0.263	8.199e-02
H3F3B	0.571	2.842e-01	2.903	0.468	0.263	8.199e-02
ZNF750	0.449	3.266e-01	4.636	0.463	0.268	8.644e-02
ZNF366	0.631	2.639e-01	2.714	0.466	0.268	8.678e-02
MEF2A	0.466	3.207e-01	1.019	0.484	0.269	8.713e-02
MYOD1	0.672	2.508e-01	2.671	0.465	0.269	8.748e-02
DEK	0.689	2.454e-01	1.968	0.468	0.269	8.748e-02
ICE2	0.650	2.580e-01	1.729	0.471	0.270	8.819e-02
HNF4A	0.594	2.763e-01	2.170	0.469	0.272	9.068e-02
RXRA	0.625	2.661e-01	0.543	0.480	0.273	9.140e-02
ZNF92	0.339	3.672e-01	5.619	0.459	0.273	9.140e-02
JMJD6	0.606	2.723e-01	-0.249	0.493	0.274	9.213e-02
MAF	0.207	4.182e-01	0.481	0.498	0.275	9.359e-02
ETV6	0.665	2.531e-01	1.376	0.472	0.276	9.432e-02
SMARCA4	0.274	3.921e-01	-0.482	0.511	0.278	9.693e-02
CBX3	0.354	3.618e-01	2.881	0.469	0.279	9.768e-02
TCF12	0.162	4.357e-01	0.726	0.494	0.280	9.844e-02
EBNA3	0.647	2.588e-01	1.380	0.471	0.280	9.882e-02
SND1	0.592	2.771e-01	0.925	0.474	0.283	1.019e-01
FOXP1	0.427	3.345e-01	0.748	0.481	0.284	1.031e-01
MKL2	0.687	2.459e-01	0.576	0.473	0.287	1.058e-01
ZNF788	0.394	3.468e-01	3.415	0.461	0.289	1.090e-01
DDX5	-0.051	5.202e-01	1.812	0.486	0.290	1.099e-01
NR2F1	0.234	4.075e-01	1.897	0.473	0.292	1.123e-01
LIN9	0.558	2.884e-01	1.696	0.467	0.292	1.123e-01
TAL1	-0.078	5.310e-01	1.771	0.487	0.293	1.127e-01
ZSCAN20	0.605	2.726e-01	2.005	0.463	0.293	1.127e-01
SS18	0.450	3.265e-01	1.214	0.473	0.293	1.136e-01
CEBPA	-0.155	5.617e-01	0.289	0.518	0.294	1.148e-01
ZNF766	0.113	4.552e-01	2.237	0.474	0.294	1.148e-01
TBX21	0.679	2.487e-01	0.941	0.468	0.295	1.161e-01
JUNB	0.196	4.225e-01	0.355	0.487	0.300	1.217e-01
SRC	0.239	4.055e-01	1.676	0.472	0.301	1.221e-01
ARRB1	0.471	3.186e-01	2.581	0.461	0.302	1.239e-01
ZNF140	0.323	3.735e-01	3.104	0.460	0.303	1.248e-01
TSHZ1	0.517	3.026e-01	1.185	0.469	0.303	1.252e-01
NFE2L2	0.365	3.577e-01	0.157	0.481	0.304	1.266e-01
SNAI2	-0.134	5.532e-01	1.756	0.482	0.305	1.279e-01
SOX4	0.508	3.058e-01	1.469	0.465	0.312	1.372e-01
KLF16	0.326	3.722e-01	2.438	0.461	0.312	1.372e-01
NFIL3	0.316	3.761e-01	2.951	0.459	0.313	1.377e-01
BRD9	0.402	3.437e-01	1.137	0.469	0.314	1.391e-01
CTCFL	0.095	4.623e-01	-0.183	0.495	0.315	1.400e-01
ASH2L	0.439	3.304e-01	2.245	0.459	0.316	1.415e-01
EBNA2	0.491	3.116e-01	1.166	0.465	0.321	1.484e-01
ZXDC	0.361	3.592e-01	2.062	0.460	0.321	1.494e-01
ZNF675	0.198	4.217e-01	3.980	0.454	0.321	1.494e-01
ZNF429	0.181	4.282e-01	4.357	0.454	0.323	1.514e-01
PRKDC	0.433	3.324e-01	1.027	0.466	0.325	1.544e-01
ETV4	0.043	4.830e-01	-0.504	0.496	0.327	1.575e-01
ZNF558	0.404	3.429e-01	1.421	0.461	0.331	1.633e-01
PARP1	0.054	4.784e-01	7.409	0.449	0.332	1.644e-01
ZNF765	0.194	4.231e-01	3.317	0.454	0.333	1.660e-01
KDM1A	-0.303	6.190e-01	0.609	0.495	0.333	1.665e-01
ZNF488	0.371	3.554e-01	1.830	0.458	0.335	1.687e-01
MECOM	0.361	3.589e-01	1.437	0.460	0.336	1.709e-01
ZNF440	0.102	4.596e-01	4.903	0.451	0.338	1.736e-01
ZFP28	0.208	4.175e-01	2.748	0.455	0.338	1.736e-01
CAMTA2	0.373	3.545e-01	1.228	0.461	0.338	1.742e-01
ZNF331	0.105	4.582e-01	4.699	0.451	0.339	1.747e-01
FXR2	0.307	3.794e-01	1.680	0.458	0.343	1.809e-01
EPAS1	0.333	3.695e-01	1.361	0.459	0.344	1.838e-01
SMARCE1	-0.195	5.771e-01	2.255	0.469	0.345	1.843e-01
RELA	-0.174	5.691e-01	-0.727	0.498	0.347	1.872e-01
CUX1	-0.220	5.871e-01	0.583	0.484	0.347	1.878e-01
ICE1	0.467	3.203e-01	0.696	0.460	0.347	1.884e-01
LDB1	0.165	4.345e-01	2.902	0.453	0.347	1.884e-01
ILK	0.105	4.583e-01	2.159	0.459	0.349	1.913e-01
ZNF778	0.023	4.907e-01	1.027	0.470	0.350	1.937e-01
RUNX3	0.334	3.693e-01	1.094	0.459	0.350	1.937e-01
EBF1	0.220	4.130e-01	0.689	0.465	0.352	1.955e-01
BIRA	0.128	4.490e-01	1.218	0.464	0.352	1.961e-01
ETV5	0.144	4.429e-01	0.266	0.471	0.353	1.978e-01
TFAP2A	0.048	4.807e-01	1.448	0.465	0.353	1.984e-01
ZSCAN2	0.308	3.790e-01	1.200	0.458	0.354	1.990e-01
ZNF93	0.183	4.273e-01	2.206	0.454	0.355	2.015e-01
PLRG1	0.179	4.291e-01	1.943	0.455	0.356	2.021e-01
E2F7	0.230	4.091e-01	-0.372	0.472	0.357	2.051e-01
BRDU	-0.267	6.053e-01	1.613	0.472	0.359	2.082e-01
ZNF554	0.195	4.229e-01	1.732	0.454	0.361	2.107e-01
GLIS1	0.072	4.714e-01	0.024	0.473	0.362	2.125e-01
AGO1	0.318	3.753e-01	0.538	0.459	0.366	2.201e-01
TSC22D4	-0.319	6.250e-01	1.350	0.474	0.367	2.220e-01
TLX1	0.284	3.882e-01	0.937	0.458	0.367	2.220e-01
KDM6B	0.161	4.361e-01	-0.004	0.468	0.368	2.232e-01
VDR	0.133	4.471e-01	-0.299	0.472	0.369	2.252e-01
EHF	0.299	3.824e-01	-0.099	0.466	0.369	2.258e-01
CEBPD	-0.193	5.766e-01	-0.577	0.487	0.369	2.258e-01
CREM	-0.119	5.473e-01	-0.234	0.478	0.370	2.271e-01
BCAT1	0.227	4.103e-01	1.139	0.455	0.370	2.271e-01
LMTK3	0.009	4.964e-01	1.262	0.461	0.370	2.277e-01
RCOR1	0.021	4.918e-01	0.152	0.471	0.371	2.290e-01
ZNF506	0.060	4.760e-01	3.323	0.449	0.371	2.290e-01
TET2	-0.783	7.832e-01	0.241	0.514	0.372	2.303e-01
TAT	0.296	3.835e-01	0.553	0.458	0.375	2.362e-01
CREBBP	-0.375	6.462e-01	-0.932	0.499	0.375	2.369e-01
SP140	0.041	4.835e-01	0.924	0.462	0.376	2.375e-01
ZNF479	0.098	4.608e-01	2.340	0.450	0.376	2.388e-01
ZNF780A	0.070	4.722e-01	2.833	0.449	0.376	2.388e-01
FUS	0.239	4.057e-01	0.363	0.459	0.379	2.428e-01
ZNF2	0.225	4.108e-01	0.603	0.458	0.379	2.435e-01
PRDM10	0.257	3.985e-01	0.830	0.454	0.381	2.482e-01
MBD3	0.172	4.318e-01	0.036	0.463	0.384	2.529e-01
SETDB1	-0.988	8.383e-01	-0.284	0.542	0.388	2.597e-01
FOXO3	-0.157	5.624e-01	-0.910	0.479	0.388	2.604e-01
NFKB2	0.186	4.261e-01	0.864	0.453	0.389	2.625e-01
HDAC4	0.259	3.977e-01	0.161	0.457	0.390	2.639e-01
DPF2	-0.180	5.715e-01	1.732	0.458	0.391	2.673e-01
BACH2	0.190	4.246e-01	-0.035	0.460	0.393	2.694e-01
WRNIP1	0.314	3.767e-01	-0.240	0.459	0.393	2.701e-01
RELB	0.137	4.455e-01	1.100	0.452	0.394	2.722e-01
STAT1	0.082	4.675e-01	-1.077	0.472	0.394	2.722e-01
TCF7L1	-0.303	6.189e-01	0.109	0.474	0.395	2.736e-01
ZNF534	0.138	4.451e-01	1.036	0.452	0.395	2.750e-01
ZNF563	0.034	4.866e-01	2.219	0.448	0.398	2.792e-01
HMBOX1	0.097	4.615e-01	1.515	0.450	0.398	2.806e-01
ZBTB42	0.150	4.405e-01	0.799	0.452	0.399	2.821e-01
TFAP4	-0.236	5.931e-01	0.062	0.472	0.400	2.842e-01
PRDM12	0.014	4.944e-01	2.391	0.447	0.400	2.842e-01
CLOCK	-0.126	5.503e-01	1.383	0.454	0.402	2.870e-01
ZNF671	0.153	4.391e-01	0.629	0.453	0.402	2.885e-01
JMJD1C	-0.144	5.571e-01	0.089	0.466	0.403	2.899e-01
ESRRA	-0.201	5.797e-01	-1.270	0.479	0.403	2.906e-01
MYF5	0.190	4.246e-01	0.229	0.454	0.404	2.921e-01
ZBTB48	-0.438	6.692e-01	0.325	0.474	0.405	2.935e-01
ZNF280A	-0.103	5.409e-01	3.749	0.443	0.407	2.978e-01
GATA1	-0.391	6.520e-01	1.773	0.460	0.407	2.978e-01
IRF1	-0.197	5.783e-01	-0.828	0.474	0.407	2.978e-01
REPIN1	-0.188	5.746e-01	0.390	0.463	0.413	3.095e-01
MBD4	0.102	4.594e-01	0.814	0.451	0.413	3.095e-01
HCFC1R1	0.038	4.848e-01	1.565	0.448	0.413	3.103e-01
LMO2	-0.445	6.720e-01	-0.027	0.475	0.414	3.117e-01
FOXP2	0.078	4.688e-01	-1.625	0.467	0.417	3.176e-01
UBE2I	0.213	4.157e-01	-0.434	0.455	0.417	3.176e-01
MRE11A	0.116	4.539e-01	-0.185	0.456	0.418	3.214e-01
DNMT3A	-0.029	5.117e-01	-1.367	0.468	0.421	3.266e-01
TERC	-0.156	5.622e-01	2.268	0.447	0.421	3.266e-01
ZNF134	0.022	4.914e-01	1.292	0.448	0.424	3.326e-01
ERCC6	-0.337	6.320e-01	-1.648	0.479	0.425	3.356e-01
GPS2	0.234	4.076e-01	-1.054	0.456	0.426	3.364e-01
ZNF44	0.104	4.587e-01	0.282	0.451	0.426	3.379e-01
CBFA2T2	0.086	4.658e-01	0.521	0.450	0.426	3.379e-01
TERF1	0.115	4.542e-01	0.115	0.451	0.427	3.394e-01
PMEL	-0.213	5.842e-01	-2.254	0.477	0.428	3.409e-01
SOX13	-0.065	5.261e-01	0.210	0.454	0.429	3.432e-01
ARNT	-0.527	7.010e-01	-1.991	0.490	0.430	3.454e-01
DMC1	-0.208	5.826e-01	4.299	0.439	0.431	3.470e-01
CTBP1	-0.140	5.555e-01	0.148	0.457	0.431	3.477e-01
RBL1	0.063	4.750e-01	0.540	0.449	0.431	3.477e-01
PSIP1	-0.178	5.705e-01	-0.406	0.462	0.434	3.531e-01
SP7	0.180	4.287e-01	-0.414	0.452	0.434	3.531e-01
RARA	-0.675	7.500e-01	-1.924	0.496	0.434	3.531e-01
